link_id,tick,traffic_share,jammed_flag,planet_a,planet_b,traffic_percentage,traffic_bucket,high_traffic_share,jammed_int,hist_attack_rate
Dawn-Elysium,43,0.04399,0,Dawn,Elysium,4.4,very_low,0,0,0.07637231503579953
Boreas-Fenix,265,0.01855,0,Boreas,Fenix,1.86,very_low,0,0,0.10353535353535354
Dawn-Fenix,467,0.01674,0,Dawn,Fenix,1.67,very_low,0,0,0.07512953367875648
Caelum-Elysium,287,0.17418,0,Caelum,Elysium,17.42,medium,0,0,0.08208955223880597
Aegis-Dawn,357,0.09578,0,Aegis,Dawn,9.58,low,0,0,0.08607594936708861
Dawn-Elysium,248,0.13215,0,Dawn,Elysium,13.22,medium,0,0,0.07637231503579953
Aegis-Elysium,370,0.27263,0,Aegis,Elysium,27.26,high,1,0,0.06801007556675064
Boreas-Fenix,428,0.17178,0,Boreas,Fenix,17.18,medium,0,0,0.10353535353535354
Aegis-Elysium,70,0.0834330688935281,0,Aegis,Elysium,8.34,low,0,0,0.06801007556675064
Dawn-Fenix,155,0.04246,0,Dawn,Fenix,4.25,very_low,0,0,0.07512953367875648
Boreas-Elysium,376,0.05026,0,Boreas,Elysium,5.03,low,0,0,0.08933002481389578
Aegis-Elysium,421,0.01047,0,Aegis,Elysium,1.05,very_low,0,0,0.06801007556675064
Caelum-Elysium,327,0.10012,0,Caelum,Elysium,10.01,medium,0,0,0.08208955223880597
Aegis-Boreas,179,0.16616,0,Aegis,Boreas,16.62,medium,0,0,0.115
Caelum-Fenix,282,0.03825,0,Caelum,Fenix,3.82,very_low,0,0,0.07960199004975124
Caelum-Elysium,389,0.18789,0,Caelum,Elysium,18.79,medium,0,0,0.08208955223880597
Aegis-Dawn,45,0.29488,0,Aegis,Dawn,29.49,high,1,0,0.08607594936708861
Caelum-Fenix,434,0.20443,0,Caelum,Fenix,20.44,high,1,0,0.07960199004975124
Boreas-Fenix,78,0.03724,0,Boreas,Fenix,3.72,very_low,0,0,0.10353535353535354
Aegis-Dawn,111,0.04299,0,Aegis,Dawn,4.3,very_low,0,0,0.08607594936708861
Elysium-Fenix,218,0.01786,0,Elysium,Fenix,1.79,very_low,0,0,0.06666666666666667
Caelum-Fenix,240,0.04419,1,Caelum,Fenix,4.42,very_low,0,1,0.07960199004975124
Boreas-Fenix,49,0.20271,0,Boreas,Fenix,20.27,high,1,0,0.10353535353535354
Caelum-Elysium,263,0.27581,1,Caelum,Elysium,27.58,high,1,1,0.08208955223880597
Aegis-Dawn,149,0.0016,0,Aegis,Dawn,0.16,very_low,0,0,0.08607594936708861
Elysium-Fenix,101,0.03788,0,Elysium,Fenix,3.79,very_low,0,0,0.06666666666666667
Boreas-Fenix,266,0.07908,0,Boreas,Fenix,7.91,low,0,0,0.10353535353535354
Dawn-Fenix,398,0.15662,0,Dawn,Fenix,15.66,medium,0,0,0.07512953367875648
Dawn-Fenix,379,0.0962,0,Dawn,Fenix,9.62,low,0,0,0.07512953367875648
Aegis-Boreas,464,0.0315,0,Aegis,Boreas,3.15,very_low,0,0,0.115
Caelum-Elysium,70,0.0834330688935281,0,Caelum,Elysium,8.34,low,0,0,0.08208955223880597
Boreas-Elysium,409,0.01939,0,Boreas,Elysium,1.94,very_low,0,0,0.08933002481389578
Dawn-Fenix,181,0.24743,0,Dawn,Fenix,24.74,high,1,0,0.07512953367875648
Caelum-Fenix,218,0.16881,0,Caelum,Fenix,16.88,medium,0,0,0.07960199004975124
Caelum-Dawn,381,0.00869,0,Caelum,Dawn,0.87,very_low,0,0,0.06666666666666667
Dawn-Fenix,162,0.0834330688935281,0,Dawn,Fenix,8.34,low,0,0,0.07512953367875648
Aegis-Elysium,55,0.03699,1,Aegis,Elysium,3.7,very_low,0,1,0.06801007556675064
Boreas-Elysium,55,0.0517,0,Boreas,Elysium,5.17,low,0,0,0.08933002481389578
Caelum-Dawn,282,0.09201,0,Caelum,Dawn,9.2,low,0,0,0.06666666666666667
Aegis-Dawn,9,0.06464,1,Aegis,Dawn,6.46,low,0,1,0.08607594936708861
Dawn-Fenix,18,0.07239,1,Dawn,Fenix,7.24,low,0,1,0.07512953367875648
Boreas-Fenix,361,0.22051,0,Boreas,Fenix,22.05,high,1,0,0.10353535353535354
Aegis-Boreas,223,0.06882,0,Aegis,Boreas,6.88,low,0,0,0.115
Aegis-Elysium,392,0.13886,0,Aegis,Elysium,13.89,medium,0,0,0.06801007556675064
Aegis-Elysium,185,0.05399,0,Aegis,Elysium,5.4,low,0,0,0.06801007556675064
Dawn-Elysium,171,0.03256,0,Dawn,Elysium,3.26,very_low,0,0,0.07637231503579953
Caelum-Elysium,6,0.01518,0,Caelum,Elysium,1.52,very_low,0,0,0.08208955223880597
Caelum-Dawn,395,0.01387,0,Caelum,Dawn,1.39,very_low,0,0,0.06666666666666667
Boreas-Fenix,352,0.15908,1,Boreas,Fenix,15.91,medium,0,1,0.10353535353535354
Caelum-Elysium,62,0.00696,0,Caelum,Elysium,0.7,very_low,0,0,0.08208955223880597
Aegis-Elysium,443,0.15266,0,Aegis,Elysium,15.27,medium,0,0,0.06801007556675064
Aegis-Dawn,354,0.00352,0,Aegis,Dawn,0.35,very_low,0,0,0.08607594936708861
Boreas-Fenix,131,0.00721,0,Boreas,Fenix,0.72,very_low,0,0,0.10353535353535354
Caelum-Elysium,267,0.07501,0,Caelum,Elysium,7.5,low,0,0,0.08208955223880597
Aegis-Elysium,413,0.00154,0,Aegis,Elysium,0.15,very_low,0,0,0.06801007556675064
Aegis-Boreas,9,0.05568,0,Aegis,Boreas,5.57,low,0,0,0.115
Dawn-Fenix,473,0.07915,0,Dawn,Fenix,7.92,low,0,0,0.07512953367875648
Boreas-Fenix,194,0.03467,0,Boreas,Fenix,3.47,very_low,0,0,0.10353535353535354
Dawn-Fenix,407,0.11038,0,Dawn,Fenix,11.04,medium,0,0,0.07512953367875648
Dawn-Elysium,448,0.18999,0,Dawn,Elysium,19.0,medium,0,0,0.07637231503579953
Aegis-Dawn,390,0.18286,1,Aegis,Dawn,18.29,medium,0,1,0.08607594936708861
Elysium-Fenix,266,0.11352,0,Elysium,Fenix,11.35,medium,0,0,0.06666666666666667
Boreas-Elysium,176,0.05444,0,Boreas,Elysium,5.44,low,0,0,0.08933002481389578
Caelum-Dawn,458,0.10811,0,Caelum,Dawn,10.81,medium,0,0,0.06666666666666667
Aegis-Elysium,456,0.03344,0,Aegis,Elysium,3.34,very_low,0,0,0.06801007556675064
Caelum-Fenix,366,0.04577,0,Caelum,Fenix,4.58,very_low,0,0,0.07960199004975124
Boreas-Fenix,379,0.22426,1,Boreas,Fenix,22.43,high,1,1,0.10353535353535354
Aegis-Elysium,130,0.0036,1,Aegis,Elysium,0.36,very_low,0,1,0.06801007556675064
Boreas-Dawn,357,0.05359,0,Boreas,Dawn,5.36,low,0,0,0.0761904761904762
Aegis-Boreas,456,0.03721,0,Aegis,Boreas,3.72,very_low,0,0,0.115
Aegis-Elysium,334,0.15786,0,Aegis,Elysium,15.79,medium,0,0,0.06801007556675064
Caelum-Elysium,341,0.00725,0,Caelum,Elysium,0.73,very_low,0,0,0.08208955223880597
Boreas-Dawn,321,0.00622,0,Boreas,Dawn,0.62,very_low,0,0,0.0761904761904762
Caelum-Dawn,163,0.25633,0,Caelum,Dawn,25.63,high,1,0,0.06666666666666667
Aegis-Elysium,136,0.03466,0,Aegis,Elysium,3.47,very_low,0,0,0.06801007556675064
Caelum-Dawn,171,0.00194,0,Caelum,Dawn,0.19,very_low,0,0,0.06666666666666667
Boreas-Dawn,109,0.05011,0,Boreas,Dawn,5.01,low,0,0,0.0761904761904762
Dawn-Fenix,288,0.24726,0,Dawn,Fenix,24.73,high,1,0,0.07512953367875648
Aegis-Boreas,231,0.04277,0,Aegis,Boreas,4.28,very_low,0,0,0.115
Aegis-Dawn,418,0.0537,0,Aegis,Dawn,5.37,low,0,0,0.08607594936708861
Caelum-Elysium,297,0.07739,0,Caelum,Elysium,7.74,low,0,0,0.08208955223880597
Boreas-Dawn,281,0.07663,0,Boreas,Dawn,7.66,low,0,0,0.0761904761904762
Aegis-Elysium,151,0.11219,0,Aegis,Elysium,11.22,medium,0,0,0.06801007556675064
Elysium-Fenix,446,0.03416,0,Elysium,Fenix,3.42,very_low,0,0,0.06666666666666667
Elysium-Fenix,1,0.09633,0,Elysium,Fenix,9.63,low,0,0,0.06666666666666667
Aegis-Boreas,345,0.07516,0,Aegis,Boreas,7.52,low,0,0,0.115
Caelum-Elysium,158,0.0834330688935281,0,Caelum,Elysium,8.34,low,0,0,0.08208955223880597
Caelum-Dawn,342,0.07892,0,Caelum,Dawn,7.89,low,0,0,0.06666666666666667
Aegis-Elysium,431,0.00668,0,Aegis,Elysium,0.67,very_low,0,0,0.06801007556675064
Caelum-Dawn,325,0.12812,0,Caelum,Dawn,12.81,medium,0,0,0.06666666666666667
Elysium-Fenix,67,0.01992,0,Elysium,Fenix,1.99,very_low,0,0,0.06666666666666667
Aegis-Elysium,395,0.07713,0,Aegis,Elysium,7.71,low,0,0,0.06801007556675064
Boreas-Elysium,306,0.03055,0,Boreas,Elysium,3.06,very_low,0,0,0.08933002481389578
Aegis-Boreas,248,0.21698,0,Aegis,Boreas,21.7,high,1,0,0.115
Boreas-Elysium,150,0.02149,0,Boreas,Elysium,2.15,very_low,0,0,0.08933002481389578
Elysium-Fenix,104,0.19283,0,Elysium,Fenix,19.28,medium,0,0,0.06666666666666667
Dawn-Elysium,280,0.01796,0,Dawn,Elysium,1.8,very_low,0,0,0.07637231503579953
Boreas-Elysium,334,0.04569,0,Boreas,Elysium,4.57,very_low,0,0,0.08933002481389578
Caelum-Fenix,419,0.27035,0,Caelum,Fenix,27.03,high,1,0,0.07960199004975124
Aegis-Boreas,442,0.13998,0,Aegis,Boreas,14.0,medium,0,0,0.115
Caelum-Fenix,377,0.01362,0,Caelum,Fenix,1.36,very_low,0,0,0.07960199004975124
Boreas-Fenix,349,0.10801,0,Boreas,Fenix,10.8,medium,0,0,0.10353535353535354
Aegis-Dawn,144,0.34812,0,Aegis,Dawn,34.81,high,1,0,0.08607594936708861
Aegis-Elysium,354,0.20556,0,Aegis,Elysium,20.56,high,1,0,0.06801007556675064
Caelum-Fenix,49,0.0102,0,Caelum,Fenix,1.02,very_low,0,0,0.07960199004975124
Caelum-Dawn,468,0.01534,0,Caelum,Dawn,1.53,very_low,0,0,0.06666666666666667
Aegis-Boreas,361,0.0834330688935281,0,Aegis,Boreas,8.34,low,0,0,0.115
Caelum-Fenix,429,0.08288,0,Caelum,Fenix,8.29,low,0,0,0.07960199004975124
Boreas-Fenix,453,0.09329,0,Boreas,Fenix,9.33,low,0,0,0.10353535353535354
Dawn-Elysium,493,0.09802,0,Dawn,Elysium,9.8,low,0,0,0.07637231503579953
Aegis-Elysium,407,0.12843,1,Aegis,Elysium,12.84,medium,0,1,0.06801007556675064
Boreas-Dawn,224,0.07758,1,Boreas,Dawn,7.76,low,0,1,0.0761904761904762
Boreas-Elysium,79,0.12859,0,Boreas,Elysium,12.86,medium,0,0,0.08933002481389578
Aegis-Elysium,264,0.00111,0,Aegis,Elysium,0.11,very_low,0,0,0.06801007556675064
Dawn-Fenix,57,0.29122,0,Dawn,Fenix,29.12,high,1,0,0.07512953367875648
Boreas-Fenix,332,0.01656,0,Boreas,Fenix,1.66,very_low,0,0,0.10353535353535354
Aegis-Boreas,376,0.03086,0,Aegis,Boreas,3.09,very_low,0,0,0.115
Caelum-Fenix,227,0.00988,0,Caelum,Fenix,0.99,very_low,0,0,0.07960199004975124
Elysium-Fenix,133,0.0834330688935281,0,Elysium,Fenix,8.34,low,0,0,0.06666666666666667
Boreas-Dawn,390,0.06971,0,Boreas,Dawn,6.97,low,0,0,0.0761904761904762
Aegis-Dawn,78,0.02535,0,Aegis,Dawn,2.54,very_low,0,0,0.08607594936708861
Aegis-Elysium,50,0.12482,0,Aegis,Elysium,12.48,medium,0,0,0.06801007556675064
Caelum-Dawn,382,0.01293,0,Caelum,Dawn,1.29,very_low,0,0,0.06666666666666667
Boreas-Dawn,499,0.0006,0,Boreas,Dawn,0.06,very_low,0,0,0.0761904761904762
Boreas-Fenix,256,0.15634,0,Boreas,Fenix,15.63,medium,0,0,0.10353535353535354
Elysium-Fenix,470,0.10541,0,Elysium,Fenix,10.54,medium,0,0,0.06666666666666667
Elysium-Fenix,365,0.05429,0,Elysium,Fenix,5.43,low,0,0,0.06666666666666667
Caelum-Dawn,195,0.08888,0,Caelum,Dawn,8.89,low,0,0,0.06666666666666667
Aegis-Boreas,6,0.03769,0,Aegis,Boreas,3.77,very_low,0,0,0.115
Boreas-Fenix,246,0.08094,0,Boreas,Fenix,8.09,low,0,0,0.10353535353535354
Boreas-Elysium,136,0.10837,0,Boreas,Elysium,10.84,medium,0,0,0.08933002481389578
Caelum-Fenix,301,0.01775,0,Caelum,Fenix,1.78,very_low,0,0,0.07960199004975124
Caelum-Dawn,459,0.02606,0,Caelum,Dawn,2.61,very_low,0,0,0.06666666666666667
Aegis-Elysium,62,0.11923,0,Aegis,Elysium,11.92,medium,0,0,0.06801007556675064
Elysium-Fenix,245,0.08137,0,Elysium,Fenix,8.14,low,0,0,0.06666666666666667
Caelum-Dawn,221,0.00748,0,Caelum,Dawn,0.75,very_low,0,0,0.06666666666666667
Elysium-Fenix,13,0.14494,0,Elysium,Fenix,14.49,medium,0,0,0.06666666666666667
Elysium-Fenix,132,0.25768,0,Elysium,Fenix,25.77,high,1,0,0.06666666666666667
Caelum-Fenix,64,0.29648,0,Caelum,Fenix,29.65,high,1,0,0.07960199004975124
Caelum-Dawn,15,0.01403,0,Caelum,Dawn,1.4,very_low,0,0,0.06666666666666667
Caelum-Fenix,441,0.09098,0,Caelum,Fenix,9.1,low,0,0,0.07960199004975124
Aegis-Elysium,372,0.05299,0,Aegis,Elysium,5.3,low,0,0,0.06801007556675064
Caelum-Fenix,485,0.0624,0,Caelum,Fenix,6.24,low,0,0,0.07960199004975124
Aegis-Dawn,305,0.01529,0,Aegis,Dawn,1.53,very_low,0,0,0.08607594936708861
Elysium-Fenix,329,0.01298,0,Elysium,Fenix,1.3,very_low,0,0,0.06666666666666667
Caelum-Fenix,403,0.0242,0,Caelum,Fenix,2.42,very_low,0,0,0.07960199004975124
Boreas-Fenix,103,0.00418,0,Boreas,Fenix,0.42,very_low,0,0,0.10353535353535354
Caelum-Elysium,386,0.02802,0,Caelum,Elysium,2.8,very_low,0,0,0.08208955223880597
Caelum-Fenix,358,0.09106,0,Caelum,Fenix,9.11,low,0,0,0.07960199004975124
Caelum-Elysium,270,0.22074,0,Caelum,Elysium,22.07,high,1,0,0.08208955223880597
Aegis-Elysium,403,0.05364,0,Aegis,Elysium,5.36,low,0,0,0.06801007556675064
Elysium-Fenix,99,0.08662,0,Elysium,Fenix,8.66,low,0,0,0.06666666666666667
Caelum-Fenix,292,0.04852,0,Caelum,Fenix,4.85,very_low,0,0,0.07960199004975124
Boreas-Elysium,355,0.31285,0,Boreas,Elysium,31.28,high,1,0,0.08933002481389578
Elysium-Fenix,187,0.0834330688935281,0,Elysium,Fenix,8.34,low,0,0,0.06666666666666667
Boreas-Fenix,2,0.02883,0,Boreas,Fenix,2.88,very_low,0,0,0.10353535353535354
Boreas-Dawn,66,0.08413,0,Boreas,Dawn,8.41,low,0,0,0.0761904761904762
Aegis-Elysium,487,0.16453,0,Aegis,Elysium,16.45,medium,0,0,0.06801007556675064
Boreas-Elysium,416,0.01242,0,Boreas,Elysium,1.24,very_low,0,0,0.08933002481389578
Elysium-Fenix,170,0.18903,0,Elysium,Fenix,18.9,medium,0,0,0.06666666666666667
Dawn-Elysium,262,0.00472,0,Dawn,Elysium,0.47,very_low,0,0,0.07637231503579953
Aegis-Boreas,295,0.14489,0,Aegis,Boreas,14.49,medium,0,0,0.115
Dawn-Elysium,475,0.0834330688935281,0,Dawn,Elysium,8.34,low,0,0,0.07637231503579953
Caelum-Fenix,440,0.08499,0,Caelum,Fenix,8.5,low,0,0,0.07960199004975124
Aegis-Dawn,395,0.26552,0,Aegis,Dawn,26.55,high,1,0,0.08607594936708861
Boreas-Dawn,495,0.1429,0,Boreas,Dawn,14.29,medium,0,0,0.0761904761904762
Aegis-Boreas,294,0.27142,0,Aegis,Boreas,27.14,high,1,0,0.115
Caelum-Elysium,52,0.06772,0,Caelum,Elysium,6.77,low,0,0,0.08208955223880597
Aegis-Dawn,414,0.03266,0,Aegis,Dawn,3.27,very_low,0,0,0.08607594936708861
Aegis-Dawn,491,0.02954,0,Aegis,Dawn,2.95,very_low,0,0,0.08607594936708861
Dawn-Fenix,497,0.30255,0,Dawn,Fenix,30.26,high,1,0,0.07512953367875648
Caelum-Elysium,126,0.03006,1,Caelum,Elysium,3.01,very_low,0,1,0.08208955223880597
Aegis-Dawn,59,0.03,0,Aegis,Dawn,3.0,very_low,0,0,0.08607594936708861
Boreas-Fenix,149,0.16266,0,Boreas,Fenix,16.27,medium,0,0,0.10353535353535354
Dawn-Fenix,79,0.22845,0,Dawn,Fenix,22.84,high,1,0,0.07512953367875648
Elysium-Fenix,334,0.25799,0,Elysium,Fenix,25.8,high,1,0,0.06666666666666667
Dawn-Elysium,183,0.00956,0,Dawn,Elysium,0.96,very_low,0,0,0.07637231503579953
Caelum-Fenix,344,0.02793,0,Caelum,Fenix,2.79,very_low,0,0,0.07960199004975124
Caelum-Dawn,60,0.12281,0,Caelum,Dawn,12.28,medium,0,0,0.06666666666666667
Dawn-Elysium,462,0.0834330688935281,0,Dawn,Elysium,8.34,low,0,0,0.07637231503579953
Dawn-Elysium,192,0.00196,0,Dawn,Elysium,0.2,very_low,0,0,0.07637231503579953
Caelum-Fenix,307,0.00548,0,Caelum,Fenix,0.55,very_low,0,0,0.07960199004975124
Boreas-Fenix,443,0.03544,0,Boreas,Fenix,3.54,very_low,0,0,0.10353535353535354
Caelum-Dawn,93,0.12842,0,Caelum,Dawn,12.84,medium,0,0,0.06666666666666667
Boreas-Fenix,96,0.0771,0,Boreas,Fenix,7.71,low,0,0,0.10353535353535354
Elysium-Fenix,86,0.09181,0,Elysium,Fenix,9.18,low,0,0,0.06666666666666667
Dawn-Fenix,51,0.00778,0,Dawn,Fenix,0.78,very_low,0,0,0.07512953367875648
Dawn-Fenix,416,0.30043,0,Dawn,Fenix,30.04,high,1,0,0.07512953367875648
Aegis-Boreas,206,0.09706,0,Aegis,Boreas,9.71,low,0,0,0.115
Aegis-Boreas,298,0.0834330688935281,0,Aegis,Boreas,8.34,low,0,0,0.115
Elysium-Fenix,258,0.00403,0,Elysium,Fenix,0.4,very_low,0,0,0.06666666666666667
Caelum-Elysium,406,0.09485,0,Caelum,Elysium,9.49,low,0,0,0.08208955223880597
Caelum-Dawn,193,0.08414,0,Caelum,Dawn,8.41,low,0,0,0.06666666666666667
Aegis-Dawn,326,0.00196,0,Aegis,Dawn,0.2,very_low,0,0,0.08607594936708861
Dawn-Elysium,327,0.04732,0,Dawn,Elysium,4.73,very_low,0,0,0.07637231503579953
Boreas-Dawn,294,0.14013,0,Boreas,Dawn,14.01,medium,0,0,0.0761904761904762
Dawn-Elysium,240,0.13004,0,Dawn,Elysium,13.0,medium,0,0,0.07637231503579953
Caelum-Dawn,189,0.12115,0,Caelum,Dawn,12.12,medium,0,0,0.06666666666666667
Boreas-Fenix,132,0.0184,0,Boreas,Fenix,1.84,very_low,0,0,0.10353535353535354
Caelum-Dawn,9,0.02526,0,Caelum,Dawn,2.53,very_low,0,0,0.06666666666666667
Boreas-Elysium,110,0.18284,0,Boreas,Elysium,18.28,medium,0,0,0.08933002481389578
Caelum-Fenix,255,0.15603,0,Caelum,Fenix,15.6,medium,0,0,0.07960199004975124
Dawn-Elysium,83,0.2648,0,Dawn,Elysium,26.48,high,1,0,0.07637231503579953
Elysium-Fenix,18,0.18134,0,Elysium,Fenix,18.13,medium,0,0,0.06666666666666667
Elysium-Fenix,40,0.11767,0,Elysium,Fenix,11.77,medium,0,0,0.06666666666666667
Aegis-Boreas,193,0.17388,0,Aegis,Boreas,17.39,medium,0,0,0.115
Caelum-Dawn,319,0.00645,0,Caelum,Dawn,0.64,very_low,0,0,0.06666666666666667
Boreas-Elysium,155,0.06202,0,Boreas,Elysium,6.2,low,0,0,0.08933002481389578
Elysium-Fenix,400,0.4622,0,Elysium,Fenix,46.22,very_high,1,0,0.06666666666666667
Boreas-Elysium,486,0.07646,0,Boreas,Elysium,7.65,low,0,0,0.08933002481389578
Caelum-Fenix,90,0.00108,0,Caelum,Fenix,0.11,very_low,0,0,0.07960199004975124
Aegis-Dawn,107,0.06945,0,Aegis,Dawn,6.94,low,0,0,0.08607594936708861
Elysium-Fenix,141,0.01652,0,Elysium,Fenix,1.65,very_low,0,0,0.06666666666666667
Boreas-Elysium,221,0.12191,1,Boreas,Elysium,12.19,medium,0,1,0.08933002481389578
Elysium-Fenix,36,0.09235,0,Elysium,Fenix,9.24,low,0,0,0.06666666666666667
Boreas-Dawn,41,0.21705,0,Boreas,Dawn,21.7,high,1,0,0.0761904761904762
Aegis-Elysium,230,0.08701,0,Aegis,Elysium,8.7,low,0,0,0.06801007556675064
Boreas-Elysium,419,0.02823,0,Boreas,Elysium,2.82,very_low,0,0,0.08933002481389578
Aegis-Elysium,234,0.0834330688935281,0,Aegis,Elysium,8.34,low,0,0,0.06801007556675064
Caelum-Dawn,344,0.04123,0,Caelum,Dawn,4.12,very_low,0,0,0.06666666666666667
Dawn-Elysium,285,0.23337,0,Dawn,Elysium,23.34,high,1,0,0.07637231503579953
Aegis-Boreas,201,0.039,0,Aegis,Boreas,3.9,very_low,0,0,0.115
Boreas-Fenix,35,0.06101,0,Boreas,Fenix,6.1,low,0,0,0.10353535353535354
Caelum-Fenix,312,0.2402,1,Caelum,Fenix,24.02,high,1,1,0.07960199004975124
Elysium-Fenix,228,0.04722,0,Elysium,Fenix,4.72,very_low,0,0,0.06666666666666667
Dawn-Fenix,277,0.00111,0,Dawn,Fenix,0.11,very_low,0,0,0.07512953367875648
Aegis-Dawn,269,0.04886,0,Aegis,Dawn,4.89,very_low,0,0,0.08607594936708861
Boreas-Elysium,482,0.28466,0,Boreas,Elysium,28.47,high,1,0,0.08933002481389578
Aegis-Dawn,219,0.05895,0,Aegis,Dawn,5.9,low,0,0,0.08607594936708861
Boreas-Dawn,422,0.01091,0,Boreas,Dawn,1.09,very_low,0,0,0.0761904761904762
Dawn-Elysium,449,0.0834330688935281,0,Dawn,Elysium,8.34,low,0,0,0.07637231503579953
Aegis-Dawn,460,0.00688,0,Aegis,Dawn,0.69,very_low,0,0,0.08607594936708861
Caelum-Fenix,205,0.05965,0,Caelum,Fenix,5.96,low,0,0,0.07960199004975124
Caelum-Fenix,26,0.19565,1,Caelum,Fenix,19.56,medium,0,1,0.07960199004975124
Boreas-Fenix,283,0.06105,0,Boreas,Fenix,6.1,low,0,0,0.10353535353535354
Aegis-Boreas,250,0.14631,0,Aegis,Boreas,14.63,medium,0,0,0.115
Dawn-Elysium,471,0.02474,0,Dawn,Elysium,2.47,very_low,0,0,0.07637231503579953
Boreas-Elysium,45,0.0258,0,Boreas,Elysium,2.58,very_low,0,0,0.08933002481389578
Caelum-Dawn,482,0.0834330688935281,0,Caelum,Dawn,8.34,low,0,0,0.06666666666666667
Boreas-Dawn,97,0.04967,0,Boreas,Dawn,4.97,very_low,0,0,0.0761904761904762
Boreas-Fenix,471,0.0704,0,Boreas,Fenix,7.04,low,0,0,0.10353535353535354
Aegis-Elysium,426,0.0834330688935281,0,Aegis,Elysium,8.34,low,0,0,0.06801007556675064
Dawn-Elysium,143,0.03928,0,Dawn,Elysium,3.93,very_low,0,0,0.07637231503579953
Boreas-Fenix,53,0.22867,0,Boreas,Fenix,22.87,high,1,0,0.10353535353535354
Dawn-Elysium,343,0.01791,0,Dawn,Elysium,1.79,very_low,0,0,0.07637231503579953
Caelum-Elysium,50,0.26642,0,Caelum,Elysium,26.64,high,1,0,0.08208955223880597
Dawn-Fenix,448,0.01581,0,Dawn,Fenix,1.58,very_low,0,0,0.07512953367875648
Dawn-Elysium,132,0.01855,0,Dawn,Elysium,1.86,very_low,0,0,0.07637231503579953
Caelum-Elysium,16,0.02741,0,Caelum,Elysium,2.74,very_low,0,0,0.08208955223880597
Elysium-Fenix,253,0.17448,0,Elysium,Fenix,17.45,medium,0,0,0.06666666666666667
Caelum-Fenix,61,0.03507,0,Caelum,Fenix,3.51,very_low,0,0,0.07960199004975124
Caelum-Fenix,24,0.0553,0,Caelum,Fenix,5.53,low,0,0,0.07960199004975124
Dawn-Fenix,214,0.13173,0,Dawn,Fenix,13.17,medium,0,0,0.07512953367875648
Dawn-Elysium,401,0.03824,0,Dawn,Elysium,3.82,very_low,0,0,0.07637231503579953
Caelum-Dawn,128,0.02629,0,Caelum,Dawn,2.63,very_low,0,0,0.06666666666666667
