link_id,tick,self_reported_latency_ms,measured_latency_ms,planet_a,planet_b,latency_difference,absolute_difference,latency_ratio,percentage_error,trust_score,hist_mean_trust,hist_std_trust,hist_mean_latency_diff
Caelum-Elysium,105,410313.088,415953.147,Caelum,Elysium,5640.059000000008,5640.059000000008,1.013745744810363,1.36,0.9866,0.9780398457583547,0.06003094589396874,1753.5802267796134
Aegis-Dawn,338,151099.288,155810.804,Aegis,Dawn,4711.516000000003,4711.516000000003,1.031181589684261,3.02,0.9706,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Aegis-Elysium,87,149417.014,156930.715,Aegis,Elysium,7513.701000000001,7513.701000000001,1.0502867832708798,4.79,0.9543,0.7958968831168831,0.13151929136319288,77214.95699135585
Boreas-Dawn,228,93642.168,94946.407,Boreas,Dawn,1304.2390000000014,1304.2390000000014,1.0139279026517198,1.37,0.9864,0.9791679389312977,0.052929740107363066,-992.1216852668913
Elysium-Fenix,307,189067.165,181728.52,Elysium,Fenix,-7338.645000000019,7338.645000000019,0.9611849841827373,4.04,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Aegis-Elysium,319,105509.442,221866.687,Aegis,Elysium,116357.24500000001,116357.24500000001,2.1028135756797957,52.44,0.656,0.7958968831168831,0.13151929136319288,77214.95699135585
Aegis-Elysium,330,110356.138,165107.764,Aegis,Elysium,54751.62599999999,54751.62599999999,1.496135756399884,33.16,0.751,0.7958968831168831,0.13151929136319288,77214.95699135585
Caelum-Fenix,154,218750.206,218572.734,Caelum,Fenix,-177.47200000000885,177.47200000000885,0.999188700192584,0.08,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Aegis-Dawn,356,127869.124,128290.402,Aegis,Dawn,421.2780000000057,421.2780000000057,1.003294603003615,0.33,0.9967,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Aegis-Elysium,419,187969.566,186874.302,Aegis,Elysium,-1095.2639999999956,1095.2639999999956,0.9941731843973083,0.59,1.0,0.7958968831168831,0.13151929136319288,77214.95699135585
Boreas-Fenix,15,219480.095,220340.723,Boreas,Fenix,860.627999999997,860.627999999997,1.0039212120807584,0.39,0.9961,0.8068014354066986,0.13514659878591953,61601.108196475456
Boreas-Elysium,299,115406.645,114190.092,Boreas,Elysium,-1216.5529999999999,1216.5529999999999,0.9894585532748136,1.07,1.0,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Caelum-Elysium,36,127248.301,123540.202,Caelum,Elysium,-3708.099000000002,3708.099000000002,0.9708593437330059,3.0,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Boreas-Dawn,108,116030.369,119910.424,Boreas,Dawn,3880.054999999993,3880.054999999993,1.0334399953515618,3.24,0.9687,0.9791679389312977,0.052929740107363066,-992.1216852668913
Dawn-Fenix,198,132608.447,130936.761,Dawn,Fenix,-1671.685999999987,1671.685999999987,0.9873938196410672,1.28,1.0,0.9823136476426799,0.04646098172906777,-362.5543768567232
Aegis-Dawn,193,194851.067,202552.578,Aegis,Dawn,7701.510999999999,7701.510999999999,1.0395251158670842,3.8,0.9634,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Caelum-Fenix,140,164161.282,166027.569,Caelum,Fenix,1866.286999999982,1866.286999999982,1.0113686185759683,1.12,0.9889,0.9796862650602409,0.04873557984945812,1731.907948738127
Boreas-Fenix,166,60778.498,140762.864,Boreas,Fenix,79984.36600000001,79984.36600000001,2.315997739858593,56.82,0.6377,0.8068014354066986,0.13514659878591953,61601.108196475456
Aegis-Boreas,188,86110.696,90230.068,Aegis,Boreas,4119.372000000003,4119.372000000003,1.0478380989975973,4.57,0.9563,0.9849621693121693,0.03408513950102227,-4121.568080328588
Aegis-Boreas,287,115937.279,112927.228,Aegis,Boreas,-3010.050999999992,3010.050999999992,0.9740372464666865,2.67,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Caelum-Dawn,410,174686.312,177880.453,Caelum,Dawn,3194.1410000000033,3194.1410000000033,1.0182850102187744,1.8,0.9824,0.9804744471744471,0.05446466415035868,-6484.057433327288
Elysium-Fenix,36,287647.753,297320.821,Elysium,Fenix,9673.06799999997,9673.06799999997,1.033628171606124,3.25,0.9685,0.9777570719602977,0.055399164086247815,4312.254361379141
Caelum-Fenix,205,148616.005,144456.0,Caelum,Fenix,-4160.005000000005,4160.005000000005,0.9720083647787464,2.88,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Caelum-Elysium,466,263722.123,253631.253,Caelum,Elysium,-10090.870000000024,10090.870000000024,0.9617367330233421,3.98,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Caelum-Elysium,271,220649.905,219760.16,Caelum,Elysium,-889.7449999999953,889.7449999999953,0.9959676166640543,0.4,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Caelum-Dawn,215,375261.873,212417.936,Caelum,Dawn,-162843.93700000003,162843.93700000003,0.5660525389958814,76.66,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Boreas-Elysium,333,96498.257,99364.67,Boreas,Elysium,2866.4130000000005,2866.4130000000005,1.0297042981822977,2.88,0.972,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Elysium-Fenix,481,208817.095,205341.482,Elysium,Fenix,-3475.613000000012,3475.613000000012,0.9833557065813984,1.69,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Caelum-Fenix,94,119094.432,117631.723,Caelum,Fenix,-1462.7090000000026,1462.7090000000026,0.9877180740070199,1.24,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Boreas-Elysium,144,135293.671,140206.253,Boreas,Elysium,4912.581999999995,4912.581999999995,1.036310508567692,3.5,0.9661,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Boreas-Fenix,480,49238.309,156425.143,Boreas,Fenix,107186.834,107186.834,3.176899170115692,68.52,0.5934,0.8068014354066986,0.13514659878591953,61601.108196475456
Aegis-Boreas,210,103828.557,101120.025,Aegis,Boreas,-2708.5320000000065,2708.5320000000065,0.973913419599966,2.68,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Elysium-Fenix,107,178191.368,176418.693,Elysium,Fenix,-1772.6749999999884,1772.6749999999884,0.9900518469559088,1.0,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Dawn-Elysium,496,137692.69,142309.297,Dawn,Elysium,4616.606999999989,4616.606999999989,1.03352833763361,3.24,0.9686,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Caelum-Dawn,106,148948.903,143327.366,Caelum,Dawn,-5621.536999999982,5621.536999999982,0.9622586209983702,3.92,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Aegis-Boreas,73,139129.77,135308.907,Aegis,Boreas,-3820.862999999983,3820.862999999983,0.9725374159678408,2.82,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Elysium-Fenix,265,312750.625,301700.139,Elysium,Fenix,-11050.485999999975,11050.485999999975,0.9646667820408034,3.66,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Fenix,328,162478.972,157435.225,Boreas,Fenix,-5043.747000000003,5043.747000000003,0.968957539933229,3.2,1.0,0.8068014354066986,0.13514659878591953,61601.108196475456
Dawn-Elysium,282,200991.321,200044.107,Dawn,Elysium,-947.2140000000072,947.2140000000072,0.9952872890466747,0.47,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Elysium-Fenix,444,217036.477,212855.668,Elysium,Fenix,-4180.809000000008,4180.809000000008,0.9807368371538762,1.96,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Caelum-Fenix,246,181051.24749094708,113329.395,Caelum,Fenix,-67721.85249094707,67721.85249094707,0.6259520250235597,59.76,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Boreas-Fenix,321,121702.541,328708.621,Boreas,Fenix,207006.08,207006.08,2.70091830703847,62.98,0.6136,0.8068014354066986,0.13514659878591953,61601.108196475456
Caelum-Dawn,305,674267.617,231600.68,Caelum,Dawn,-442666.937,442666.937,0.343484803601357,191.13,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Elysium-Fenix,94,188749.41,183625.65,Elysium,Fenix,-5123.760000000009,5123.760000000009,0.9728541668024286,2.79,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Elysium,145,104744.117,100615.135,Boreas,Elysium,-4128.982000000004,4128.982000000004,0.96058029683901,4.1,1.0,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Aegis-Elysium,231,117863.041,167404.867,Aegis,Elysium,49541.826,49541.826,1.4203338517288044,29.59,0.7716,0.7958968831168831,0.13151929136319288,77214.95699135585
Dawn-Fenix,352,198528.441,208408.137,Dawn,Fenix,9879.695999999996,9879.695999999996,1.0497646380046877,4.74,0.9547,0.9823136476426799,0.04646098172906777,-362.5543768567232
Caelum-Dawn,340,124558.319,127643.042,Caelum,Dawn,3084.722999999998,3084.722999999998,1.0247652908674851,2.42,0.9764,0.9804744471744471,0.05446466415035868,-6484.057433327288
Elysium-Fenix,366,173067.493,170760.445,Elysium,Fenix,-2307.0479999999807,2307.0479999999807,0.9866696630314049,1.35,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Caelum-Fenix,391,226104.966,229062.378,Caelum,Fenix,2957.412000000011,2957.412000000011,1.0130798188660748,1.29,0.9873,0.9796862650602409,0.04873557984945812,1731.907948738127
Aegis-Boreas,113,67326.068,66307.531,Aegis,Boreas,-1018.5369999999966,1018.5369999999966,0.9848715804998445,1.54,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Dawn-Fenix,86,125787.629,124853.636,Dawn,Fenix,-933.9930000000022,933.9930000000022,0.9925748421571727,0.75,1.0,0.9823136476426799,0.04646098172906777,-362.5543768567232
Caelum-Fenix,259,123741.312,119552.489,Caelum,Fenix,-4188.823000000004,4188.823000000004,0.9661485486754819,3.5,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Dawn-Fenix,441,84514.084,80591.5,Dawn,Fenix,-3922.5840000000026,3922.5840000000026,0.9535866235028945,4.87,1.0,0.9823136476426799,0.04646098172906777,-362.5543768567232
Caelum-Dawn,195,134141.199,135671.3,Caelum,Dawn,1530.100999999995,1530.100999999995,1.01140664472516,1.13,0.9888,0.9804744471744471,0.05446466415035868,-6484.057433327288
Boreas-Elysium,456,102814.403,102214.05,Boreas,Elysium,-600.3530000000028,600.3530000000028,0.994160808384016,0.59,1.0,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Boreas-Fenix,448,181051.24749094708,193456.589,Boreas,Fenix,12405.34150905293,12405.34150905293,1.0685183984146436,6.41,0.9397,0.8068014354066986,0.13514659878591953,61601.108196475456
Boreas-Dawn,339,76874.489,75912.59,Boreas,Dawn,-961.8990000000049,961.8990000000049,0.987487409509805,1.27,1.0,0.9791679389312977,0.052929740107363066,-992.1216852668913
Boreas-Dawn,462,220623.633,227757.983,Boreas,Dawn,7134.350000000006,7134.350000000006,1.032337197529514,3.13,0.9696,0.9791679389312977,0.052929740107363066,-992.1216852668913
Boreas-Dawn,392,90020.94,90903.606,Boreas,Dawn,882.6659999999974,882.6659999999974,1.0098051186757213,0.97,0.9904,0.9791679389312977,0.052929740107363066,-992.1216852668913
Boreas-Dawn,325,77396.016,75443.566,Boreas,Dawn,-1952.449999999997,1952.449999999997,0.9747732493104038,2.59,1.0,0.9791679389312977,0.052929740107363066,-992.1216852668913
Caelum-Fenix,339,133145.423,139980.013,Caelum,Fenix,6834.5899999999965,6834.5899999999965,1.0513317682726502,4.88,0.9534,0.9796862650602409,0.04873557984945812,1731.907948738127
Caelum-Fenix,446,158249.898,153674.564,Caelum,Fenix,-4575.3339999999735,4575.3339999999735,0.9710879181735714,2.98,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Caelum-Dawn,458,47983.994,126615.57,Caelum,Dawn,78631.576,78631.576,2.6387042729290107,62.1,0.6169,0.9804744471744471,0.05446466415035868,-6484.057433327288
Caelum-Elysium,35,181051.24749094708,205225.996,Caelum,Elysium,24174.748509052937,24174.748509052937,1.1335243410032936,11.78,0.8946,0.9780398457583547,0.06003094589396874,1753.5802267796134
Aegis-Boreas,252,106363.735,104605.868,Aegis,Boreas,-1757.8669999999984,1757.8669999999984,0.9834730606254096,1.68,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Aegis-Boreas,350,61856.867,61474.732,Aegis,Boreas,-382.13499999999476,382.13499999999476,0.9938222703713722,0.62,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Boreas-Fenix,258,205920.027,204232.274,Boreas,Fenix,-1687.752999999997,1687.752999999997,0.9918038423722624,0.83,1.0,0.8068014354066986,0.13514659878591953,61601.108196475456
Dawn-Elysium,52,126817.247,129683.909,Dawn,Elysium,2866.6619999999966,2866.6619999999966,1.0226046698522007,2.21,0.9784,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Aegis-Boreas,457,76561.295,77906.364,Aegis,Boreas,1345.0690000000031,1345.0690000000031,1.0175685246703312,1.73,0.983,0.9849621693121693,0.03408513950102227,-4121.568080328588
Elysium-Fenix,344,165950.323,174311.982,Elysium,Fenix,8361.658999999985,8361.658999999985,1.0503865183799612,4.8,0.9542,0.9777570719602977,0.055399164086247815,4312.254361379141
Aegis-Boreas,479,73723.855,76225.293,Aegis,Boreas,2501.438000000009,2501.438000000009,1.0339298318027457,3.28,0.9682,0.9849621693121693,0.03408513950102227,-4121.568080328588
Aegis-Elysium,114,156489.011,259677.184,Aegis,Elysium,103188.17300000001,103188.17300000001,1.65939564919354,39.74,0.7156,0.7958968831168831,0.13151929136319288,77214.95699135585
Aegis-Dawn,298,131375.312,127214.076,Aegis,Dawn,-4161.236000000004,4161.236000000004,0.9683255861649257,3.27,1.0,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Caelum-Fenix,221,115425.884,112907.122,Caelum,Fenix,-2518.7620000000024,2518.7620000000024,0.9781785340279482,2.23,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Boreas-Fenix,173,352442.346,662720.079,Boreas,Fenix,310277.733,310277.733,1.8803645093203414,46.82,0.6811,0.8068014354066986,0.13514659878591953,61601.108196475456
Caelum-Dawn,95,162973.021,157388.39,Caelum,Dawn,-5584.630999999994,5584.630999999994,0.9657327883736045,3.55,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Aegis-Boreas,26,88562.487,92736.079,Aegis,Boreas,4173.592000000004,4173.592000000004,1.0471259575174308,4.5,0.9569,0.9849621693121693,0.03408513950102227,-4121.568080328588
Caelum-Dawn,75,126620.702,124045.588,Caelum,Dawn,-2575.1140000000014,2575.1140000000014,0.9796627726799366,2.08,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Boreas-Fenix,250,90154.615,188164.364,Boreas,Fenix,98009.749,98009.749,2.0871295828838043,52.09,0.6575,0.8068014354066986,0.13514659878591953,61601.108196475456
Caelum-Dawn,270,121020.49,126564.38,Caelum,Dawn,5543.889999999999,5543.889999999999,1.0458095153969382,4.38,0.958,0.9804744471744471,0.05446466415035868,-6484.057433327288
Boreas-Dawn,247,149308.412,156926.838,Boreas,Dawn,7618.425999999978,7618.425999999978,1.0510247607482421,4.85,0.9537,0.9791679389312977,0.052929740107363066,-992.1216852668913
Aegis-Elysium,287,135313.743,215115.192,Aegis,Elysium,79801.44900000002,79801.44900000002,1.589751249435174,37.1,0.7294,0.7958968831168831,0.13151929136319288,77214.95699135585
Aegis-Elysium,281,333248.357,347531.36,Aegis,Elysium,14283.002999999968,14283.002999999968,1.0428599352404309,4.11,0.9605,0.7958968831168831,0.13151929136319288,77214.95699135585
Dawn-Elysium,434,101662.518,103725.949,Dawn,Elysium,2063.430999999997,2063.430999999997,1.0202968708683764,1.99,0.9805,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Fenix,119,145327.471,223142.853,Boreas,Fenix,77815.38200000001,77815.38200000001,1.535448538838194,34.87,0.7414,0.8068014354066986,0.13514659878591953,61601.108196475456
Boreas-Elysium,63,101589.606,102398.552,Boreas,Elysium,808.9459999999963,808.9459999999963,1.007962881556997,0.79,0.9922,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Boreas-Elysium,191,112986.138,113028.526,Boreas,Elysium,42.387999999991735,42.387999999991735,1.0003751610662186,0.04,0.9996,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Dawn-Elysium,149,235635.389,236582.548,Dawn,Elysium,947.1590000000142,947.1590000000142,1.0040195957153109,0.4,0.996,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Dawn-Fenix,154,487959.298,487238.624,Dawn,Fenix,-720.6739999999991,720.6739999999991,0.9985230858332779,0.15,1.0,0.9823136476426799,0.04646098172906777,-362.5543768567232
Dawn-Elysium,217,137923.567,132273.349,Dawn,Elysium,-5650.218000000023,5650.218000000023,0.95903370161533,4.27,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Dawn,451,66037.452,69418.27,Boreas,Dawn,3380.8179999999993,3380.8179999999993,1.0511954640527317,4.87,0.9536,0.9791679389312977,0.052929740107363066,-992.1216852668913
Dawn-Elysium,78,259756.74,254047.687,Dawn,Elysium,-5709.052999999985,5709.052999999985,0.9780215404612793,2.25,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Fenix,417,233414.18,340409.172,Boreas,Fenix,106994.99200000003,106994.99200000003,1.4583911397328133,31.43,0.7609,0.8068014354066986,0.13514659878591953,61601.108196475456
Dawn-Elysium,435,106473.572,102352.715,Dawn,Elysium,-4120.857000000004,4120.857000000004,0.9612969028596129,4.03,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Aegis-Dawn,107,122765.41,123403.278,Aegis,Dawn,637.8680000000022,637.8680000000022,1.0051958283689193,0.52,0.9949,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Caelum-Fenix,93,121663.821,121785.882,Caelum,Fenix,122.06100000000151,122.06100000000151,1.0010032645612865,0.1,0.999,0.9796862650602409,0.04873557984945812,1731.907948738127
Dawn-Elysium,303,109675.748,113392.559,Dawn,Elysium,3716.810999999987,3716.810999999987,1.033889087312174,3.28,0.9683,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Caelum-Dawn,404,123994.563,130200.635,Caelum,Dawn,6206.072,6206.072,1.0500511623239481,4.77,0.9545,0.9804744471744471,0.05446466415035868,-6484.057433327288
