link_id,tick,traffic_share,jammed_flag,planet_a,planet_b,traffic_percentage,traffic_bucket,high_traffic_share,relative_traffic,jammed_int
Caelum-Dawn,6,0.07714,False,Caelum,Dawn,7.71,low,0,0.9246,0
Caelum-Elysium,6,0.01518,False,Caelum,Elysium,1.52,very_low,0,0.1819,0
Caelum-Fenix,6,0.03042,False,Caelum,Fenix,3.04,very_low,0,0.3646,0
Dawn-Elysium,6,0.07386,False,Dawn,Elysium,7.39,low,0,0.8853,0
Dawn-Fenix,6,0.03105,False,Dawn,Fenix,3.1,very_low,0,0.3722,0
Elysium-Fenix,6,0.03027,False,Elysium,Fenix,3.03,very_low,0,0.3628,0
Aegis-Boreas,7,0.16996,False,Aegis,Boreas,17.0,medium,0,2.0371,0
Aegis-Dawn,7,0.05714,False,Aegis,Dawn,5.71,low,0,0.6849,0
Aegis-Elysium,7,0.01085,False,Aegis,Elysium,1.08,very_low,0,0.13,0
Boreas-Dawn,7,0.03905,False,Boreas,Dawn,3.9,very_low,0,0.468,0
Boreas-Elysium,7,0.18208,False,Boreas,Elysium,18.21,medium,0,2.1823,0
Boreas-Fenix,7,0.1118,False,Boreas,Fenix,11.18,medium,0,1.34,0
Caelum-Dawn,7,0.0066,False,Caelum,Dawn,0.66,very_low,0,0.0791,0
Caelum-Elysium,7,0.0843,False,Caelum,Elysium,8.43,low,0,1.0104,0
Caelum-Fenix,7,0.00469,False,Caelum,Fenix,0.47,very_low,0,0.0562,0
Dawn-Elysium,7,0.04877,False,Dawn,Elysium,4.88,very_low,0,0.5845,0
Dawn-Fenix,7,0.08132,False,Dawn,Fenix,8.13,low,0,0.9747,0
Elysium-Fenix,7,0.20344,False,Elysium,Fenix,20.34,high,1,2.4384,0
Aegis-Boreas,8,0.00486,False,Aegis,Boreas,0.49,very_low,0,0.0583,0
Aegis-Dawn,8,0.03782,False,Aegis,Dawn,3.78,very_low,0,0.4533,0
Aegis-Elysium,8,0.33281,False,Aegis,Elysium,33.28,high,1,3.9889,0
Boreas-Dawn,8,0.04754,False,Boreas,Dawn,4.75,very_low,0,0.5698,0
Boreas-Elysium,8,0.22891,True,Boreas,Elysium,22.89,high,1,2.7436,1
Boreas-Fenix,8,0.0308,False,Boreas,Fenix,3.08,very_low,0,0.3692,0
Caelum-Dawn,8,0.12148,False,Caelum,Dawn,12.15,medium,0,1.456,0
Caelum-Elysium,8,0.12842,False,Caelum,Elysium,12.84,medium,0,1.5392,0
Caelum-Fenix,8,0.00164,False,Caelum,Fenix,0.16,very_low,0,0.0197,0
Dawn-Elysium,8,0.03362,False,Dawn,Elysium,3.36,very_low,0,0.403,0
Dawn-Fenix,8,0.00038,False,Dawn,Fenix,0.04,very_low,0,0.0046,0
Elysium-Fenix,8,0.0317,False,Elysium,Fenix,3.17,very_low,0,0.3799,0
Aegis-Boreas,9,0.05568,False,Aegis,Boreas,5.57,low,0,0.6674,0
Aegis-Dawn,9,0.06464,True,Aegis,Dawn,6.46,low,0,0.7748,1
Aegis-Elysium,9,0.23536,False,Aegis,Elysium,23.54,high,1,2.8209,0
Boreas-Dawn,9,0.09379,False,Boreas,Dawn,9.38,low,0,1.1241,0
Boreas-Elysium,9,0.0292,False,Boreas,Elysium,2.92,very_low,0,0.35,0
Boreas-Fenix,9,0.05818,False,Boreas,Fenix,5.82,low,0,0.6973,0
Caelum-Dawn,9,0.02526,False,Caelum,Dawn,2.53,very_low,0,0.3028,0
Caelum-Elysium,9,0.14149,False,Caelum,Elysium,14.15,medium,0,1.6959,0
Caelum-Fenix,9,0.20051,False,Caelum,Fenix,20.05,high,1,2.4032,0
Dawn-Elysium,9,0.05746,False,Dawn,Elysium,5.75,low,0,0.6887,0
Dawn-Fenix,9,0.01248,False,Dawn,Fenix,1.25,very_low,0,0.1496,0
Elysium-Fenix,9,0.02594,False,Elysium,Fenix,2.59,very_low,0,0.3109,0
Aegis-Boreas,10,0.2973,False,Aegis,Boreas,29.73,high,1,3.5633,0
Aegis-Dawn,10,0.05482,False,Aegis,Dawn,5.48,low,0,0.6571,0
Aegis-Elysium,10,0.01645,False,Aegis,Elysium,1.64,very_low,0,0.1972,0
Boreas-Dawn,10,0.02604,False,Boreas,Dawn,2.6,very_low,0,0.3121,0
Boreas-Elysium,10,0.20636,True,Boreas,Elysium,20.64,high,1,2.4734,1
Boreas-Fenix,10,0.06981,False,Boreas,Fenix,6.98,low,0,0.8367,0
Caelum-Dawn,10,0.11903,False,Caelum,Dawn,11.9,medium,0,1.4267,0
Caelum-Elysium,10,0.02598,False,Caelum,Elysium,2.6,very_low,0,0.3114,0
Caelum-Fenix,10,0.00873,False,Caelum,Fenix,0.87,very_low,0,0.1046,0
Dawn-Elysium,10,0.06516,False,Dawn,Elysium,6.52,low,0,0.781,0
Dawn-Fenix,10,0.01193,False,Dawn,Fenix,1.19,very_low,0,0.143,0
Elysium-Fenix,10,0.09839,False,Elysium,Fenix,9.84,low,0,1.1793,0
Aegis-Boreas,11,0.00329,False,Aegis,Boreas,0.33,very_low,0,0.0394,0
Aegis-Dawn,11,0.02545,False,Aegis,Dawn,2.54,very_low,0,0.305,0
Aegis-Elysium,11,0.03156,False,Aegis,Elysium,3.16,very_low,0,0.3783,0
Boreas-Dawn,11,0.09087,False,Boreas,Dawn,9.09,low,0,1.0891,0
Boreas-Elysium,11,0.09816,False,Boreas,Elysium,9.82,low,0,1.1765,0
Boreas-Fenix,11,0.25172,False,Boreas,Fenix,25.17,high,1,3.017,0
Caelum-Dawn,11,0.17402,True,Caelum,Dawn,17.4,medium,0,2.0857,1
Caelum-Elysium,11,0.02831,False,Caelum,Elysium,2.83,very_low,0,0.3393,0
Caelum-Fenix,11,0.12874,False,Caelum,Fenix,12.87,medium,0,1.543,0
Dawn-Elysium,11,0.01175,False,Dawn,Elysium,1.18,very_low,0,0.1408,0
Dawn-Fenix,11,0.04812,False,Dawn,Fenix,4.81,very_low,0,0.5767,0
Elysium-Fenix,11,0.10803,False,Elysium,Fenix,10.8,medium,0,1.2948,0
Aegis-Boreas,12,0.05026,False,Aegis,Boreas,5.03,low,0,0.6024,0
Aegis-Dawn,12,0.14875,False,Aegis,Dawn,14.88,medium,0,1.7829,0
Aegis-Elysium,12,0.01717,False,Aegis,Elysium,1.72,very_low,0,0.2058,0
Boreas-Dawn,12,0.04226,False,Boreas,Dawn,4.23,very_low,0,0.5065,0
Boreas-Elysium,12,0.09102,False,Boreas,Elysium,9.1,low,0,1.0909,0
Boreas-Fenix,12,0.07174,False,Boreas,Fenix,7.17,low,0,0.8599,0
Caelum-Dawn,12,0.00989,False,Caelum,Dawn,0.99,very_low,0,0.1185,0
Caelum-Elysium,12,0.05256,False,Caelum,Elysium,5.26,low,0,0.63,0
Caelum-Fenix,12,0.11725,False,Caelum,Fenix,11.72,medium,0,1.4053,0
Dawn-Elysium,12,0.19141,True,Dawn,Elysium,19.14,medium,0,2.2942,1
Dawn-Fenix,12,0.16686,False,Dawn,Fenix,16.69,medium,0,1.9999,0
Elysium-Fenix,12,0.04083,False,Elysium,Fenix,4.08,very_low,0,0.4894,0
Aegis-Boreas,13,0.27711,False,Aegis,Boreas,27.71,high,1,3.3213,0
Aegis-Dawn,13,0.06016,False,Aegis,Dawn,6.02,low,0,0.7211,0
Aegis-Elysium,13,0.02653,False,Aegis,Elysium,2.65,very_low,0,0.318,0
Boreas-Dawn,13,0.00144,False,Boreas,Dawn,0.14,very_low,0,0.0173,0
Boreas-Elysium,13,0.17203,False,Boreas,Elysium,17.2,medium,0,2.0619,0
Boreas-Fenix,13,0.0834330688935281,False,Boreas,Fenix,8.34,low,0,1.0,0
Caelum-Dawn,13,0.04771,False,Caelum,Dawn,4.77,very_low,0,0.5718,0
Caelum-Elysium,13,0.0183,False,Caelum,Elysium,1.83,very_low,0,0.2193,0
Caelum-Fenix,13,0.19504,False,Caelum,Fenix,19.5,medium,0,2.3377,0
Dawn-Elysium,13,0.01671,False,Dawn,Elysium,1.67,very_low,0,0.2003,0
Dawn-Fenix,13,0.00181,True,Dawn,Fenix,0.18,very_low,0,0.0217,1
Elysium-Fenix,13,0.14494,False,Elysium,Fenix,14.49,medium,0,1.7372,0
Aegis-Boreas,14,0.0834330688935281,False,Aegis,Boreas,8.34,low,0,1.0,0
Aegis-Dawn,14,0.07227,False,Aegis,Dawn,7.23,low,0,0.8662,0
Aegis-Elysium,14,0.04939,True,Aegis,Elysium,4.94,very_low,0,0.592,1
Boreas-Dawn,14,0.19363,False,Boreas,Dawn,19.36,medium,0,2.3208,0
Boreas-Elysium,14,0.04974,False,Boreas,Elysium,4.97,very_low,0,0.5962,0
Boreas-Fenix,14,0.10121,False,Boreas,Fenix,10.12,medium,0,1.2131,0
Caelum-Dawn,14,0.05342,False,Caelum,Dawn,5.34,low,0,0.6403,0
Caelum-Elysium,14,0.15938,True,Caelum,Elysium,15.94,medium,0,1.9103,1
Caelum-Fenix,14,0.15034,True,Caelum,Fenix,15.03,medium,0,1.8019,1
Dawn-Elysium,14,0.03921,False,Dawn,Elysium,3.92,very_low,0,0.47,0
Dawn-Fenix,14,0.10143,False,Dawn,Fenix,10.14,medium,0,1.2157,0
Elysium-Fenix,14,0.02732,False,Elysium,Fenix,2.73,very_low,0,0.3274,0
Aegis-Boreas,15,0.19656,False,Aegis,Boreas,19.66,medium,0,2.3559,0
Aegis-Dawn,15,0.06014,False,Aegis,Dawn,6.01,low,0,0.7208,0
Aegis-Elysium,15,0.15022,False,Aegis,Elysium,15.02,medium,0,1.8005,0
Boreas-Dawn,15,0.02769,False,Boreas,Dawn,2.77,very_low,0,0.3319,0
Boreas-Elysium,15,0.24438,True,Boreas,Elysium,24.44,high,1,2.9291,1
Boreas-Fenix,15,0.05501,False,Boreas,Fenix,5.5,low,0,0.6593,0
Caelum-Dawn,15,0.01403,False,Caelum,Dawn,1.4,very_low,0,0.1682,0
Caelum-Elysium,15,0.07601,False,Caelum,Elysium,7.6,low,0,0.911,0
Caelum-Fenix,15,0.08116,False,Caelum,Fenix,8.12,low,0,0.9728,0
Dawn-Elysium,15,0.06102,False,Dawn,Elysium,6.1,low,0,0.7314,0
Dawn-Fenix,15,0.0039,False,Dawn,Fenix,0.39,very_low,0,0.0467,0
Elysium-Fenix,15,0.02989,False,Elysium,Fenix,2.99,very_low,0,0.3583,0
Aegis-Boreas,16,0.29867,False,Aegis,Boreas,29.87,high,1,3.5798,0
Aegis-Dawn,16,0.16398,False,Aegis,Dawn,16.4,medium,0,1.9654,0
Aegis-Elysium,16,0.11522,False,Aegis,Elysium,11.52,medium,0,1.381,0
Boreas-Dawn,16,0.09418,False,Boreas,Dawn,9.42,low,0,1.1288,0
Boreas-Elysium,16,0.04173,False,Boreas,Elysium,4.17,very_low,0,0.5002,0
Boreas-Fenix,16,0.0338,False,Boreas,Fenix,3.38,very_low,0,0.4051,0
Caelum-Dawn,16,0.05907,False,Caelum,Dawn,5.91,low,0,0.708,0
Caelum-Elysium,16,0.02741,False,Caelum,Elysium,2.74,very_low,0,0.3285,0
Caelum-Fenix,16,0.00368,False,Caelum,Fenix,0.37,very_low,0,0.0441,0
Dawn-Elysium,16,0.03072,False,Dawn,Elysium,3.07,very_low,0,0.3682,0
Dawn-Fenix,16,0.0444,False,Dawn,Fenix,4.44,very_low,0,0.5322,0
Elysium-Fenix,16,0.08713,False,Elysium,Fenix,8.71,low,0,1.0443,0
Aegis-Boreas,17,0.04611,False,Aegis,Boreas,4.61,very_low,0,0.5527,0
Aegis-Dawn,17,0.05285,False,Aegis,Dawn,5.28,low,0,0.6334,0
Aegis-Elysium,17,0.12797,False,Aegis,Elysium,12.8,medium,0,1.5338,0
Boreas-Dawn,17,0.06095,False,Boreas,Dawn,6.1,low,0,0.7305,0
Boreas-Elysium,17,0.26281,False,Boreas,Elysium,26.28,high,1,3.15,0
Boreas-Fenix,17,0.01267,False,Boreas,Fenix,1.27,very_low,0,0.1519,0
Caelum-Dawn,17,0.02906,False,Caelum,Dawn,2.91,very_low,0,0.3483,0
Caelum-Elysium,17,0.01391,False,Caelum,Elysium,1.39,very_low,0,0.1667,0
Caelum-Fenix,17,0.09544,False,Caelum,Fenix,9.54,low,0,1.1439,0
Dawn-Elysium,17,0.11783,False,Dawn,Elysium,11.78,medium,0,1.4123,0
Dawn-Fenix,17,0.13304,False,Dawn,Fenix,13.3,medium,0,1.5946,0
Elysium-Fenix,17,0.04737,False,Elysium,Fenix,4.74,very_low,0,0.5678,0
Aegis-Boreas,18,0.0375,True,Aegis,Boreas,3.75,very_low,0,0.4495,1
Aegis-Dawn,18,0.23904,True,Aegis,Dawn,23.9,high,1,2.8651,1
Aegis-Elysium,18,0.00155,False,Aegis,Elysium,0.16,very_low,0,0.0186,0
Boreas-Dawn,18,0.04714,False,Boreas,Dawn,4.71,very_low,0,0.565,0
Boreas-Elysium,18,0.12371,False,Boreas,Elysium,12.37,medium,0,1.4827,0
Boreas-Fenix,18,0.15311,False,Boreas,Fenix,15.31,medium,0,1.8351,0
Caelum-Dawn,18,0.00345,False,Caelum,Dawn,0.34,very_low,0,0.0414,0
Caelum-Elysium,18,0.03692,False,Caelum,Elysium,3.69,very_low,0,0.4425,0
Caelum-Fenix,18,0.05738,False,Caelum,Fenix,5.74,low,0,0.6877,0
Dawn-Elysium,18,0.04647,False,Dawn,Elysium,4.65,very_low,0,0.557,0
Dawn-Fenix,18,0.07239,True,Dawn,Fenix,7.24,low,0,0.8676,1
Elysium-Fenix,18,0.18134,False,Elysium,Fenix,18.13,medium,0,2.1735,0
Aegis-Boreas,19,0.02988,False,Aegis,Boreas,2.99,very_low,0,0.3581,0
Aegis-Dawn,19,0.21947,False,Aegis,Dawn,21.95,high,1,2.6305,0
Aegis-Elysium,19,0.01619,False,Aegis,Elysium,1.62,very_low,0,0.194,0
Boreas-Dawn,19,0.18068,True,Boreas,Dawn,18.07,medium,0,2.1656,1
Boreas-Elysium,19,0.19459,False,Boreas,Elysium,19.46,medium,0,2.3323,0
Boreas-Fenix,19,0.0527,False,Boreas,Fenix,5.27,low,0,0.6316,0
Caelum-Dawn,19,0.04542,False,Caelum,Dawn,4.54,very_low,0,0.5444,0
Caelum-Elysium,19,0.01646,False,Caelum,Elysium,1.65,very_low,0,0.1973,0
Caelum-Fenix,19,0.0747,False,Caelum,Fenix,7.47,low,0,0.8953,0
Dawn-Elysium,19,0.10053,False,Dawn,Elysium,10.05,medium,0,1.2049,0
Dawn-Fenix,19,0.05589,False,Dawn,Fenix,5.59,low,0,0.6699,0
Elysium-Fenix,19,0.0135,False,Elysium,Fenix,1.35,very_low,0,0.1618,0
Aegis-Boreas,20,0.03023,False,Aegis,Boreas,3.02,very_low,0,0.3623,0
Aegis-Dawn,20,0.12035,False,Aegis,Dawn,12.04,medium,0,1.4425,0
Aegis-Elysium,20,0.03281,False,Aegis,Elysium,3.28,very_low,0,0.3932,0
Boreas-Dawn,20,0.01073,False,Boreas,Dawn,1.07,very_low,0,0.1286,0
Boreas-Elysium,20,0.05958,False,Boreas,Elysium,5.96,low,0,0.7141,0
Boreas-Fenix,20,0.12415,False,Boreas,Fenix,12.42,medium,0,1.488,0
Caelum-Dawn,20,0.16802,False,Caelum,Dawn,16.8,medium,0,2.0138,0
Caelum-Elysium,20,0.05246,False,Caelum,Elysium,5.25,low,0,0.6288,0
Caelum-Fenix,20,0.26439,False,Caelum,Fenix,26.44,high,1,3.1689,0
Dawn-Elysium,20,0.05639,False,Dawn,Elysium,5.64,low,0,0.6759,0
Dawn-Fenix,20,0.07322,False,Dawn,Fenix,7.32,low,0,0.8776,0
Elysium-Fenix,20,0.00765,True,Elysium,Fenix,0.76,very_low,0,0.0917,1
Aegis-Boreas,21,0.27164,False,Aegis,Boreas,27.16,high,1,3.2558,0
Aegis-Dawn,21,0.04775,False,Aegis,Dawn,4.78,very_low,0,0.5723,0
Aegis-Elysium,21,0.04038,False,Aegis,Elysium,4.04,very_low,0,0.484,0
Boreas-Dawn,21,0.0263,False,Boreas,Dawn,2.63,very_low,0,0.3152,0
Boreas-Elysium,21,0.22866,False,Boreas,Elysium,22.87,high,1,2.7406,0
Boreas-Fenix,21,0.00354,False,Boreas,Fenix,0.35,very_low,0,0.0424,0
Caelum-Dawn,21,0.18096,False,Caelum,Dawn,18.1,medium,0,2.1689,0
Caelum-Elysium,21,0.01222,False,Caelum,Elysium,1.22,very_low,0,0.1465,0
Caelum-Fenix,21,0.11291,False,Caelum,Fenix,11.29,medium,0,1.3533,0
Dawn-Elysium,21,0.01415,False,Dawn,Elysium,1.42,very_low,0,0.1696,0
Dawn-Fenix,21,0.03453,False,Dawn,Fenix,3.45,very_low,0,0.4139,0
Elysium-Fenix,21,0.02697,False,Elysium,Fenix,2.7,very_low,0,0.3233,0
Aegis-Boreas,22,0.21287,True,Aegis,Boreas,21.29,high,1,2.5514,1
Aegis-Dawn,22,0.12769,False,Aegis,Dawn,12.77,medium,0,1.5304,0
Aegis-Elysium,22,0.09789,False,Aegis,Elysium,9.79,low,0,1.1733,0
Boreas-Dawn,22,0.06071,False,Boreas,Dawn,6.07,low,0,0.7276,0
Boreas-Elysium,22,0.00455,False,Boreas,Elysium,0.46,very_low,0,0.0545,0
Boreas-Fenix,22,0.24205,False,Boreas,Fenix,24.2,high,1,2.9011,0
Caelum-Dawn,22,0.03701,False,Caelum,Dawn,3.7,very_low,0,0.4436,0
Caelum-Elysium,22,0.06074,False,Caelum,Elysium,6.07,low,0,0.728,0
Caelum-Fenix,22,0.06122,False,Caelum,Fenix,6.12,low,0,0.7338,0
Dawn-Elysium,22,0.00246,False,Dawn,Elysium,0.25,very_low,0,0.0295,0
Dawn-Fenix,22,0.01516,False,Dawn,Fenix,1.52,very_low,0,0.1817,0
Elysium-Fenix,22,0.07766,False,Elysium,Fenix,7.77,low,0,0.9308,0
Aegis-Boreas,23,0.11035,False,Aegis,Boreas,11.04,medium,0,1.3226,0
Aegis-Dawn,23,0.04783,False,Aegis,Dawn,4.78,very_low,0,0.5733,0
Aegis-Elysium,23,0.0834330688935281,False,Aegis,Elysium,8.34,low,0,1.0,0
Boreas-Dawn,23,0.0834330688935281,False,Boreas,Dawn,8.34,low,0,1.0,0
Boreas-Elysium,23,0.0834330688935281,False,Boreas,Elysium,8.34,low,0,1.0,0
Boreas-Fenix,23,0.04852,False,Boreas,Fenix,4.85,very_low,0,0.5815,0
Caelum-Dawn,23,0.02723,False,Caelum,Dawn,2.72,very_low,0,0.3264,0
Caelum-Elysium,23,0.14095,True,Caelum,Elysium,14.1,medium,0,1.6894,1
Caelum-Fenix,23,0.02544,False,Caelum,Fenix,2.54,very_low,0,0.3049,0
Dawn-Elysium,23,0.02381,False,Dawn,Elysium,2.38,very_low,0,0.2854,0
Dawn-Fenix,23,0.07561,False,Dawn,Fenix,7.56,low,0,0.9062,0
Elysium-Fenix,23,0.07925,False,Elysium,Fenix,7.92,low,0,0.9499,0
Aegis-Boreas,24,0.06931,False,Aegis,Boreas,6.93,low,0,0.8307,0
Aegis-Dawn,24,0.24566,False,Aegis,Dawn,24.57,high,1,2.9444,0
Aegis-Elysium,24,0.00107,False,Aegis,Elysium,0.11,very_low,0,0.0128,0
Boreas-Dawn,24,0.13617,False,Boreas,Dawn,13.62,medium,0,1.6321,0
Boreas-Elysium,24,0.03052,True,Boreas,Elysium,3.05,very_low,0,0.3658,1
Boreas-Fenix,24,0.1139,False,Boreas,Fenix,11.39,medium,0,1.3652,0
Caelum-Dawn,24,0.0834330688935281,False,Caelum,Dawn,8.34,low,0,1.0,0
Caelum-Elysium,24,0.03819,False,Caelum,Elysium,3.82,very_low,0,0.4577,0
Caelum-Fenix,24,0.0553,False,Caelum,Fenix,5.53,low,0,0.6628,0
Dawn-Elysium,24,0.02847,False,Dawn,Elysium,2.85,very_low,0,0.3412,0
Dawn-Fenix,24,0.0834330688935281,False,Dawn,Fenix,8.34,low,0,1.0,0
Elysium-Fenix,24,0.04267,False,Elysium,Fenix,4.27,very_low,0,0.5114,0
Aegis-Boreas,25,0.05474,False,Aegis,Boreas,5.47,low,0,0.6561,0
Aegis-Dawn,25,0.12162,False,Aegis,Dawn,12.16,medium,0,1.4577,0
Aegis-Elysium,25,0.00362,False,Aegis,Elysium,0.36,very_low,0,0.0434,0
Boreas-Dawn,25,0.04919,False,Boreas,Dawn,4.92,very_low,0,0.5896,0
Boreas-Elysium,25,0.13043,False,Boreas,Elysium,13.04,medium,0,1.5633,0
Boreas-Fenix,25,0.16606,True,Boreas,Fenix,16.61,medium,0,1.9903,1
Caelum-Dawn,25,0.03322,False,Caelum,Dawn,3.32,very_low,0,0.3982,0
