link_id,tick,load_units,load_ratio,status,observed_latency_ms
Dawn-Fenix,251,25.4,0.162,ok,75674.604
Caelum-Elysium,241,9.8,0.1179,ok,134667.423
Aegis-Elysium,122,59.1,0.2925,ok,210462.614
Aegis-Dawn,247,39.0,0.3981,ok,211801.262
Caelum-Fenix,352,23.6,0.186,ok,125956.855
Elysium-Fenix,238,22.9,0.1505,ok,169480.078
Aegis-Dawn,199,58.4,0.5957,ok,429387.357
Caelum-Elysium,237,15.8,0.1903,ok,140119.319
Caelum-Elysium,461,37.5,0.4519,ok,264314.605
Dawn-Elysium,41,35.3,0.5115,ok,265114.211
Boreas-Fenix,265,82.5,0.4884,ok,321941.62
Aegis-Dawn,438,33.3,0.3402,ok,177266.326
Aegis-Boreas,100,37.3,0.1793,ok,66134.542
Caelum-Fenix,157,45.2,0.3558,ok,174195.705
Caelum-Fenix,335,29.5,0.2319,ok,133903.44
Aegis-Dawn,378,18.4,0.1878,ok,134306.168
Boreas-Elysium,335,54.1,0.2639,ok,122739.784
Caelum-Elysium,291,6.8,0.0823,ok,128590.037
Dawn-Elysium,477,33.2,0.481,ok,233896.046
Elysium-Fenix,351,75.1,0.4941,ok,403755.13
Dawn-Fenix,265,5.5,0.0349,ok,71035.415
Caelum-Fenix,193,49.9,0.3933,ok,198293.155
Dawn-Elysium,70,25.4,0.3679,ok,165908.43
Aegis-Boreas,331,15.0,0.072,ok,60825.099
Caelum-Fenix,351,57.9,0.4563,ok,243604.236
Dawn-Fenix,419,23.0,0.1464,ok,76562.145
Caelum-Dawn,17,32.2,0.3498,ok,178795.258
Aegis-Boreas,344,78.8,0.3789,ok,99169.48
Caelum-Dawn,392,40.6,0.4415,ok,229477.574
Dawn-Elysium,164,13.6,0.1974,ok,116673.723
Aegis-Dawn,369,17.1,0.1746,ok,131509.899
Boreas-Elysium,437,27.4,0.1336,ok,100655.639
Dawn-Elysium,77,25.7,0.373,ok,169794.445
Caelum-Fenix,75,70.0,0.5513,ok,338828.897
Caelum-Dawn,175,62.3,0.6766,ok,584043.87
Boreas-Elysium,3,25.1,0.1224,ok,100235.059
Aegis-Dawn,260,36.76,0.2924,ok,162305.763
Aegis-Boreas,299,80.6,0.3875,ok,104122.484
Aegis-Boreas,191,93.6,0.4501,ok,127498.876
Dawn-Elysium,83,31.5,0.4558,ok,214000.973
Boreas-Dawn,457,65.5,0.3241,ok,100526.467
Boreas-Fenix,59,53.1,0.3144,ok,192789.506
Aegis-Dawn,54,34.660000000000004,0.2912,ok,164925.373
Boreas-Fenix,212,25.8,0.1525,ok,140902.497
Caelum-Dawn,5,35.9,0.3906,ok,194781.809
Boreas-Dawn,389,133.3,0.66,ok,334484.593
Caelum-Dawn,34,19.4,0.2114,ok,132846.798
Aegis-Dawn,184,37.8,0.3854,ok,203687.383
Elysium-Fenix,38,25.8,0.1698,ok,181829.078
Boreas-Elysium,404,22.2,0.1082,ok,102717.096
Boreas-Elysium,385,138.8,0.6768,ok,508988.17
Boreas-Elysium,491,85.0,0.4145,ok,183687.539
Aegis-Dawn,439,33.5,0.3421,ok,183341.692
Aegis-Boreas,445,46.8,0.225,ok,71555.575
Caelum-Fenix,1,40.0,0.3153,ok,163220.005
Boreas-Dawn,244,74.4,0.3685,ok,113146.66
Dawn-Elysium,297,22.5,0.3268,ok,149160.044
Dawn-Fenix,307,136.7,0.8709,ok,1319532.07
Aegis-Elysium,281,66.1,0.3273,ok,226253.943
Dawn-Elysium,459,38.0,0.5504,ok,303256.34
Dawn-Elysium,266,17.9,0.2597,ok,126711.019
Caelum-Dawn,305,25.6,0.2778,ok,143150.918
Boreas-Dawn,116,46.2,0.2288,ok,83547.421
Caelum-Fenix,85,4.3,0.0336,ok,110717.88
Boreas-Dawn,338,14.9,0.0739,ok,70142.514
Elysium-Fenix,466,1.3,0.0084,ok,164386.141
Caelum-Dawn,249,7.9,0.0859,ok,112366.473
Boreas-Dawn,7,26.9,0.133,ok,74491.68
Caelum-Dawn,389,29.6,0.3218,ok,162551.275
Boreas-Dawn,90,85.5,0.4233,ok,133357.648
Dawn-Fenix,414,71.3,0.4539,ok,149461.826
Caelum-Fenix,262,44.3,0.3487,ok,173209.093
Boreas-Dawn,141,23.4,0.116,ok,72753.161
Boreas-Fenix,77,128.0,0.7575,ok,1086002.936
Boreas-Dawn,367,41.1,0.2033,ok,79813.995
Dawn-Elysium,234,37.1,0.5372,ok,289028.929
Caelum-Fenix,10,50.8,0.4001,ok,202270.14
Caelum-Dawn,49,27.4,0.2973,ok,153505.539
Dawn-Fenix,447,65.6,0.4181,ok,134731.101
Boreas-Dawn,403,40.9,0.2023,ok,80267.011
Aegis-Elysium,181,94.3,0.4669,ok,340622.519
Boreas-Dawn,83,63.2,0.3129,ok,98292.133
Boreas-Dawn,84,13.9,0.069,ok,68266.51
Caelum-Fenix,14,21.8,0.1715,ok,125593.098
Aegis-Boreas,74,103.1,0.4958,ok,148720.462
Boreas-Dawn,165,75.7,0.3747,ok,116034.534
Elysium-Fenix,306,63.1,0.4152,ok,310883.592
Dawn-Elysium,437,43.5,0.6305,ok,427605.799
Boreas-Elysium,153,23.1,0.1126,ok,100564.989
Caelum-Fenix,147,63.9,0.5032,ok,284587.1
Aegis-Dawn,367,43.2,0.4407,ok,240264.199
Dawn-Fenix,239,55.9,0.356,ok,112999.218
Elysium-Fenix,196,11.3,0.0743,ok,164548.368
Caelum-Dawn,211,12.4,0.1348,ok,116386.549
Aegis-Boreas,246,65.1,0.3131,ok,86647.605
Boreas-Elysium,67,28.02,0.1821,ok,108698.124
Boreas-Elysium,86,96.5,0.4709,ok,217055.832
Aegis-Elysium,369,5.1,0.025,ok,154115.44
Boreas-Elysium,395,69.4,0.3386,ok,147008.967
Dawn-Fenix,164,70.0,0.4457,ok,146455.116
Dawn-Elysium,65,14.4,0.2082,ok,117762.069
Aegis-Elysium,47,52.2,0.2583,ok,195373.795
Dawn-Fenix,83,90.4,0.576,ok,234873.784
Elysium-Fenix,112,16.3,0.1069,ok,164792.696
Caelum-Dawn,354,29.9,0.3248,ok,165262.505
Boreas-Dawn,194,73.8,0.3654,ok,112977.543
Aegis-Elysium,0,30.5,0.1508,ok,162739.988
Caelum-Fenix,97,40.6,0.3195,ok,160304.19
Boreas-Fenix,153,63.3,0.3747,ok,226631.158
Boreas-Elysium,12,43.8,0.2139,ok,111023.503
Aegis-Boreas,427,49.1,0.2359,ok,73779.053
Boreas-Elysium,487,53.1,0.259,ok,121341.807
Elysium-Fenix,258,35.6,0.2345,ok,202828.049
Dawn-Fenix,120,19.9,0.1266,ok,72606.009
Aegis-Elysium,387,56.1,0.2778,ok,201794.532
Caelum-Elysium,209,30.7,0.3698,ok,209295.735
Boreas-Dawn,372,59.7,0.2954,ok,92814.227
Aegis-Elysium,81,40.8,0.2019,ok,184583.312
Boreas-Fenix,31,33.1,0.196,ok,154726.433
Dawn-Fenix,7,33.8,0.2152,ok,84558.895
Aegis-Dawn,473,18.7,0.191,ok,132788.974
Elysium-Fenix,82,84.9,0.5588,ok,518342.364
Caelum-Elysium,448,31.5,0.3791,ok,213488.48
Aegis-Dawn,158,16.2,0.165,ok,132970.069
Boreas-Fenix,297,21.2,0.1257,ok,140072.47
Aegis-Dawn,19,57.9,0.5908,ok,421871.201
Boreas-Dawn,354,32.9,0.1628,ok,76242.303
Aegis-Boreas,431,76.0,0.3655,ok,97778.397
Boreas-Fenix,284,22.7,0.1343,ok,141386.065
Caelum-Dawn,144,34.1,0.3703,ok,186730.555
Boreas-Elysium,498,26.9,0.131,ok,99604.962
Boreas-Dawn,188,21.5,0.1064,ok,70973.326
Aegis-Dawn,287,34.9,0.3566,ok,191378.186
Aegis-Elysium,414,44.0,0.2179,ok,185103.257
Aegis-Elysium,88,58.4,0.2891,ok,206887.998
Boreas-Elysium,99,23.5,0.1147,ok,107628.978
Dawn-Fenix,105,111.9,0.7126,ok,447217.88
Boreas-Fenix,471,25.2,0.149,ok,143096.153
Caelum-Fenix,90,38.6,0.3041,ok,155001.825
Aegis-Dawn,120,21.5,0.2193,ok,140581.528
Boreas-Elysium,30,94.3,0.4601,ok,209272.919
Aegis-Elysium,118,36.6,0.1814,ok,172512.519
Dawn-Fenix,244,0.5,0.0033,ok,72270.051
Dawn-Fenix,492,78.9,0.5028,ok,178266.974
Aegis-Dawn,179,39.4,0.4025,ok,217882.885
Dawn-Elysium,123,32.1,0.4648,ok,223526.463
Dawn-Elysium,309,4.8,0.07,ok,104077.74
Boreas-Elysium,199,21.3,0.1037,ok,100044.016
Caelum-Fenix,294,37.3,0.2941,ok,153313.185
Boreas-Dawn,323,137.2,0.679,ok,364609.973
Boreas-Dawn,404,24.1,0.1192,ok,72902.526
Elysium-Fenix,76,53.7,0.3533,ok,254522.939
Elysium-Fenix,446,32.9,0.2161,ok,188829.549
Aegis-Boreas,79,41.1,0.1978,ok,67520.669
Caelum-Elysium,485,30.6,0.3686,ok,211097.185
Caelum-Elysium,284,39.9,0.4813,ok,292246.633
Caelum-Fenix,223,39.6,0.3118,ok,161380.971
Caelum-Elysium,234,29.4,0.3547,ok,198911.165
Caelum-Dawn,290,14.2,0.154,ok,119058.406
Caelum-Fenix,258,11.6,0.0913,ok,114678.445
Caelum-Fenix,427,29.2,0.2299,ok,136386.77
Caelum-Elysium,124,20.9,0.2512,ok,159402.467
Boreas-Elysium,464,135.4,0.6606,ok,471658.954
Aegis-Elysium,56,38.3,0.1898,ok,175762.764
Aegis-Elysium,76,38.4,0.1899,ok,175163.401
Boreas-Elysium,435,51.2,0.2499,ok,120273.178
Aegis-Dawn,364,6.7,0.068,ok,119025.817
Boreas-Fenix,90,17.7,0.1048,ok,141465.303
Dawn-Fenix,237,62.4,0.3973,ok,124920.742
Aegis-Boreas,101,19.1,0.0919,ok,61162.862
Caelum-Dawn,77,14.9,0.1617,ok,123404.403
Dawn-Elysium,99,41.8,0.6054,ok,950011.363
Caelum-Fenix,22,58.2,0.4579,ok,240280.594
Aegis-Elysium,259,158.1,0.7826,ok,1449031.262
Aegis-Dawn,146,37.3,0.3811,ok,201994.401
Aegis-Dawn,89,44.7,0.4565,ok,250899.628
Aegis-Dawn,65,69.3,0.7071,ok,724149.719
Aegis-Elysium,398,21.2,0.105,ok,155914.543
Caelum-Fenix,94,33.3,0.2621,ok,144431.046
Aegis-Boreas,53,62.5,0.3003,ok,83910.682
Dawn-Fenix,46,92.3,0.5878,ok,248472.073
Dawn-Fenix,27,58.5,0.3728,ok,115635.552
Caelum-Elysium,151,28.4,0.342,ok,196239.066
Aegis-Dawn,275,38.4,0.3919,ok,209314.667
Caelum-Fenix,305,36.6,0.2882,ok,151557.375
Dawn-Fenix,98,56.7,0.3611,ok,111902.624
Boreas-Fenix,64,26.1,0.1545,ok,150285.179
Aegis-Boreas,202,108.1,0.5196,ok,158749.179
Boreas-Fenix,18,36.5,0.2159,ok,158409.449
Boreas-Dawn,37,52.4,0.2593,ok,88759.558
Caelum-Elysium,126,20.2,0.243,ok,156843.903
Aegis-Dawn,335,22.7,0.2313,ok,141692.856
Caelum-Fenix,84,87.7,0.6909,ok,625342.95
Aegis-Dawn,145,6.6,0.0676,ok,122186.518
Boreas-Fenix,290,77.4,0.4579,ok,289411.834
Dawn-Fenix,442,71.0,0.4523,ok,149622.89
Caelum-Elysium,335,11.9,0.1433,ok,135671.014
Caelum-Elysium,471,11.2,0.1347,ok,135726.261
Elysium-Fenix,359,24.3,0.16,ok,179575.084
Boreas-Dawn,171,45.6,0.2256,ok,81029.178
Aegis-Dawn,171,28.2,0.2877,ok,156738.279
Boreas-Dawn,262,26.1,0.1291,ok,72697.958
Caelum-Fenix,492,53.4,0.4208,ok,211042.212
Boreas-Elysium,336,33.2,0.1619,ok,108441.739
Caelum-Fenix,463,35.4,0.2785,ok,143288.237
Aegis-Boreas,125,40.5,0.1945,ok,68073.988
Boreas-Fenix,291,34.5,0.2038,ok,157948.557
Caelum-Elysium,276,15.2,0.1837,ok,143089.829
Dawn-Fenix,257,45.7,0.2913,ok,97352.896
Elysium-Fenix,2,19.4,0.1277,ok,171831.66
Caelum-Elysium,203,6.2,0.0752,ok,130732.81
Aegis-Elysium,289,140.8,0.697,ok,888207.473
Boreas-Fenix,142,19.0,0.1124,ok,142511.657
Caelum-Dawn,329,24.5,0.2658,ok,144582.694
Caelum-Elysium,371,8.2,0.099,ok,129025.675
Caelum-Dawn,149,36.9,0.4016,ok,199029.665
Aegis-Boreas,139,42.5,0.2042,ok,67060.116
Caelum-Dawn,345,36.220000000000006,0.2595,ok,144379.272
Boreas-Elysium,478,31.3,0.1526,ok,104789.941
Dawn-Elysium,285,20.7,0.3003,ok,144100.005
Boreas-Elysium,337,83.4,0.4067,ok,179961.106
Dawn-Elysium,231,26.879999999999995,0.214,ok,118556.07
Dawn-Fenix,220,25.2,0.1608,ok,78119.311
Aegis-Dawn,32,22.2,0.2264,ok,143644.262
Aegis-Boreas,65,18.2,0.0873,ok,62177.405
Caelum-Fenix,331,21.1,0.1659,ok,121285.806
Dawn-Fenix,216,45.6,0.2906,ok,96822.467
Elysium-Fenix,471,55.1,0.3625,ok,264667.894
Caelum-Fenix,279,19.1,0.1506,ok,117955.261
Dawn-Elysium,445,30.4,0.4402,ok,205139.02
Caelum-Elysium,36,43.6,0.5251,ok,346967.778
Aegis-Elysium,270,101.7,0.5037,ok,387027.929
Aegis-Boreas,127,60.2,0.2895,ok,80935.019
Boreas-Fenix,32,10.2,0.0604,ok,134150.913
Caelum-Elysium,413,35.8,0.4315,ok,248661.497
Caelum-Dawn,338,43.5,0.473,ok,256392.246
Caelum-Dawn,41,45.0,0.4889,ok,265987.091
Aegis-Elysium,269,93.8,0.4645,ok,338438.443
Aegis-Dawn,91,7.3,0.075,ok,118070.815
Boreas-Fenix,463,39.3,0.2326,ok,163519.122
Aegis-Dawn,70,52.0,0.531,ok,329050.544
Aegis-Dawn,403,18.9,0.1933,ok,133233.621
Elysium-Fenix,125,34.2,0.225,ok,193060.83
Aegis-Elysium,461,69.2,0.3425,ok,238870.279
Caelum-Fenix,278,15.9,0.1251,ok,120308.599
Boreas-Dawn,342,91.1,0.4511,ok,147429.882
Boreas-Dawn,308,45.8,0.2266,ok,83281.277
Caelum-Elysium,56,12.0,0.1447,ok,135954.36
Aegis-Dawn,249,36.1,0.3687,ok,192554.994
Dawn-Fenix,369,56.52,0.5167,ok,186468.0
Boreas-Fenix,259,106.3,0.629,ok,560749.325
Aegis-Dawn,219,16.0,0.163,ok,133141.161
Aegis-Dawn,126,34.3,0.3497,ok,182093.692
Dawn-Elysium,497,5.5,0.0802,ok,102397.379
Caelum-Elysium,68,25.6,0.3085,ok,183174.768
Boreas-Elysium,300,92.4,0.4509,ok,202952.016
Boreas-Dawn,152,65.1,0.3221,ok,100439.367
Boreas-Dawn,362,13.4,0.0666,ok,68808.228
Dawn-Elysium,1,30.6,0.444,ok,213289.592
Aegis-Boreas,327,60.0,0.2885,ok,83990.109
Caelum-Dawn,394,38.4,0.4171,ok,210208.213
Aegis-Boreas,282,68.4,0.3289,ok,88501.25
Dawn-Fenix,155,40.3,0.2564,ok,87417.677
Aegis-Elysium,427,84.4,0.4176,ok,287574.846
Caelum-Elysium,207,27.3,0.3289,ok,186657.617
Dawn-Fenix,496,45.6,0.2903,ok,94863.947
Caelum-Fenix,41,22.9,0.1803,ok,124280.044
Caelum-Fenix,132,14.2,0.112,ok,115070.541
Caelum-Elysium,347,10.0,0.1204,ok,128588.657
Dawn-Elysium,66,29.6,0.4286,ok,200748.663
Aegis-Dawn,487,15.0,0.1535,ok,129283.295
Dawn-Elysium,220,5.0,0.0729,ok,102333.053
Elysium-Fenix,280,83.4,0.5486,ok,490210.776
Aegis-Boreas,303,124.3,0.5975,ok,455081.609
Boreas-Dawn,124,5.4,0.0267,ok,69283.36
Caelum-Dawn,236,33.8,0.2753,ok,144442.29
Aegis-Boreas,306,53.8,0.2586,ok,76695.07
Aegis-Boreas,71,26.5,0.1274,ok,62477.154
Caelum-Fenix,386,85.4,0.6724,ok,573239.619
Aegis-Dawn,265,12.3,0.1251,ok,124338.817
Caelum-Elysium,363,63.1,0.7601,ok,1037901.936
Caelum-Dawn,400,15.4,0.1674,ok,123511.339
Dawn-Elysium,404,38.9,0.5636,ok,322991.98
Boreas-Dawn,334,32.1,0.1589,ok,73187.438
Aegis-Boreas,157,28.4,0.1363,ok,64102.848
Aegis-Dawn,286,22.48,0.1228,ok,122661.024
Dawn-Elysium,363,11.7,0.1691,ok,114847.061
Caelum-Fenix,87,52.6,0.4142,ok,211017.411
Caelum-Elysium,144,30.0,0.3614,ok,205432.712
Elysium-Fenix,251,40.0,0.2635,ok,211731.835
Boreas-Dawn,484,70.3,0.3483,ok,106824.489
Aegis-Boreas,388,57.1,0.2747,ok,79062.886
Dawn-Fenix,95,62.9,0.4009,ok,128916.107
Aegis-Dawn,398,30.0,0.3058,ok,163863.671
Dawn-Elysium,71,16.1,0.2335,ok,126853.749
Dawn-Fenix,119,38.7,0.2462,ok,86735.996
Boreas-Dawn,181,110.1,0.5448,ok,203562.011
Aegis-Boreas,391,148.5,0.714,ok,379820.432
Boreas-Elysium,194,37.0,0.1803,ok,108350.313
Aegis-Elysium,357,46.5,0.2303,ok,186784.578
Boreas-Fenix,419,56.5,0.3342,ok,199687.382
Boreas-Dawn,1,52.2,0.2583,ok,87274.392
Boreas-Fenix,87,39.2,0.2322,ok,161074.982
Caelum-Fenix,110,29.5,0.2324,ok,136435.662
Boreas-Dawn,272,63.2,0.3129,ok,97103.92
Elysium-Fenix,211,23.0,0.1511,ok,171724.537
Dawn-Elysium,82,3.8,0.0553,ok,102045.845
Caelum-Dawn,399,38.4,0.4172,ok,208498.959
Aegis-Dawn,377,58.1,0.5924,ok,421608.68
Caelum-Elysium,415,51.2,0.6171,ok,507149.017
Aegis-Elysium,248,126.8,0.6277,ok,640436.591
Aegis-Boreas,182,86.3,0.4147,ok,114832.988
Boreas-Dawn,297,39.5,0.1954,ok,78984.903
Aegis-Dawn,469,31.6,0.3228,ok,167890.697
Caelum-Dawn,120,37.5,0.4078,ok,205194.928
Aegis-Boreas,47,112.6,0.5412,ok,175808.637
Aegis-Elysium,320,31.9,0.1579,ok,171637.196
Aegis-Elysium,149,112.2,0.5554,ok,473616.45
Caelum-Elysium,434,16.8,0.2018,ok,148732.297
Caelum-Elysium,327,5.5,0.066,ok,128103.07
Caelum-Dawn,103,22.3,0.2426,ok,136173.407
Dawn-Fenix,94,93.9,0.5978,ok,261868.031
Boreas-Fenix,50,112.2,0.6639,ok,665442.305
Aegis-Elysium,77,110.8,0.5485,ok,466652.903
Boreas-Fenix,328,23.9,0.1413,ok,217250.731
Dawn-Elysium,284,23.9,0.3469,ok,153824.041
Boreas-Elysium,427,57.3,0.2793,ok,125563.801
Caelum-Fenix,221,72.7,0.5723,ok,367770.523
Aegis-Boreas,291,61.4,0.2951,ok,84184.321
Boreas-Elysium,400,18.2,0.0889,ok,99322.065
Caelum-Fenix,371,23.2,0.1826,ok,124712.411
Elysium-Fenix,411,108.0,0.7104,ok,1021210.368
Elysium-Fenix,426,21.6,0.1422,ok,178985.97
Boreas-Elysium,246,11.2,0.0546,ok,99160.551
Boreas-Dawn,241,41.4,0.2051,ok,79507.977
Boreas-Elysium,417,85.8,0.4187,ok,188534.008
Dawn-Elysium,486,29.1,0.4224,ok,195408.946
Caelum-Fenix,24,34.0,0.2675,ok,144538.521
Dawn-Fenix,330,51.8,0.33,ok,102819.124
Elysium-Fenix,484,20.6,0.1357,ok,175003.521
Dawn-Elysium,268,30.9,0.4479,ok,209558.663
Boreas-Fenix,3,43.1,0.2548,ok,174078.965
Caelum-Fenix,380,19.1,0.1504,ok,121400.871
Caelum-Dawn,16,21.9,0.2375,ok,135962.555
Boreas-Dawn,222,89.3,0.4419,ok,142666.137
Boreas-Elysium,240,130.8,0.638,ok,424218.647
Elysium-Fenix,117,11.8,0.0778,ok,168761.245
Dawn-Fenix,460,81.17999999999999,0.5353,ok,203962.814
Aegis-Boreas,265,47.0,0.2261,ok,71291.26
Aegis-Dawn,28,17.9,0.1828,ok,390829.915
Elysium-Fenix,235,16.8,0.1105,ok,169253.64
Aegis-Boreas,104,53.4,0.2567,ok,75982.859
Boreas-Fenix,327,42.1,0.249,ok,170246.523
Aegis-Dawn,273,16.8,0.171,ok,129646.698
Boreas-Dawn,399,43.9,0.2172,ok,81221.236
Boreas-Elysium,121,42.0,0.2049,ok,112659.582
Caelum-Elysium,153,9.4,0.1129,ok,132941.238
Caelum-Elysium,213,13.7,0.1649,ok,136931.597
Boreas-Dawn,300,25.119999999999997,0.2132,ok,82596.889
Boreas-Elysium,60,37.2,0.1813,ok,107590.779
Aegis-Elysium,215,117.0,0.5792,ok,521584.691
Caelum-Fenix,364,5.4,0.0428,ok,115457.288
Boreas-Elysium,386,28.4,0.1385,ok,104629.195
Dawn-Elysium,407,18.8,0.273,ok,132545.52
Boreas-Dawn,6,41.0,0.2031,ok,79553.121
Aegis-Boreas,377,18.9,0.0909,ok,19915.379
Boreas-Dawn,245,42.3,0.2097,ok,79319.506
Boreas-Fenix,315,20.5,0.1216,ok,136463.32
Boreas-Fenix,134,46.6,0.2756,ok,178418.463
Dawn-Elysium,142,52.0,0.7539,ok,803909.2
Caelum-Dawn,445,53.0,0.5761,ok,372049.973
Aegis-Dawn,491,30.8,0.3139,ok,167570.413
Caelum-Dawn,252,43.2,0.47,ok,247476.295
Aegis-Boreas,20,36.1,0.1733,ok,64833.58
Aegis-Boreas,237,102.5,0.4929,ok,148112.01
Caelum-Fenix,99,27.4,0.2156,ok,130042.681
Aegis-Dawn,197,14.0,0.1424,ok,126847.961
Aegis-Boreas,226,13.8,0.0666,ok,59569.512
Dawn-Fenix,8,77.4,0.4931,ok,174413.68
Caelum-Elysium,362,37.4,0.4508,ok,267078.314
Boreas-Dawn,459,9.5,0.0471,ok,67781.916
Boreas-Fenix,99,9.1,0.0536,ok,135894.095
Caelum-Fenix,384,19.2,0.1513,ok,121642.108
Aegis-Dawn,109,63.2,0.6453,ok,533759.734
Boreas-Fenix,308,94.8,0.5609,ok,420809.671
Caelum-Elysium,253,10.1,0.122,ok,132794.858
Caelum-Dawn,341,31.6,0.343,ok,172054.203
Caelum-Dawn,36,10.4,0.1128,ok,117174.11
Aegis-Dawn,310,30.3,0.3092,ok,165743.083
Dawn-Fenix,326,15.6,0.0994,ok,74396.686
Aegis-Elysium,65,36.4,0.18,ok,168514.745
Boreas-Elysium,411,104.2,0.5081,ok,249679.384
Caelum-Fenix,191,26.0,0.2047,ok,130831.005
Boreas-Dawn,61,79.4,0.393,ok,124571.309
Boreas-Dawn,281,103.1,0.5106,ok,180821.532
Dawn-Fenix,31,91.1,0.5804,ok,241908.417
Boreas-Fenix,36,81.8,0.4843,ok,318343.814
Dawn-Fenix,133,32.3,0.2055,ok,166589.028
Caelum-Fenix,487,51.6,0.4065,ok,208968.231
Dawn-Fenix,28,68.5,0.4363,ok,144388.977
Aegis-Dawn,38,14.6,0.1493,ok,133033.67
Caelum-Fenix,5,22.8,0.1796,ok,127984.545
Dawn-Elysium,395,14.4,0.208,ok,119385.501
Dawn-Elysium,73,18.1,0.2625,ok,128702.787
Aegis-Boreas,225,91.5,0.44,ok,68235.43
Boreas-Fenix,46,76.7,0.4537,ok,291132.263
Boreas-Dawn,205,61.6,0.3047,ok,96217.451
Aegis-Boreas,371,16.3,0.0782,ok,57537.12
Caelum-Fenix,370,16.8,0.1322,ok,121294.34
Caelum-Dawn,200,52.2,0.5679,ok,363524.14
Caelum-Dawn,161,38.5,0.4189,ok,211556.485
Aegis-Elysium,99,118.3,0.5856,ok,535750.641
Elysium-Fenix,385,46.5,0.3061,ok,231190.196
Aegis-Dawn,289,34.3,0.3504,ok,183155.688
Dawn-Elysium,166,19.0,0.2751,ok,135292.297
Dawn-Elysium,341,11.6,0.1688,ok,111903.274
Aegis-Elysium,495,44.7,0.2212,ok,181835.888
Dawn-Fenix,258,32.8,0.2088,ok,81166.509
Caelum-Elysium,47,32.4,0.3909,ok,218286.247
Aegis-Boreas,222,154.6,0.7432,ok,447183.956
Boreas-Elysium,324,115.3,0.5624,ok,307832.27
Dawn-Fenix,305,29.4,0.187,ok,79339.568
Boreas-Dawn,299,23.2,0.1146,ok,70114.705
Boreas-Fenix,414,86.5,0.5116,ok,352603.859
Boreas-Dawn,307,92.8,0.4596,ok,149294.918
Caelum-Dawn,138,27.6,0.3,ok,153798.862
Boreas-Fenix,406,61.1,0.3615,ok,220280.831
Aegis-Boreas,203,32.8,0.1576,ok,65914.841
Dawn-Elysium,278,30.6,0.4436,ok,207382.11
Caelum-Elysium,423,25.9,0.3125,ok,180497.896
Boreas-Dawn,82,94.5,0.4679,ok,153478.466
Caelum-Elysium,52,21.4,0.258,ok,160770.863
Dawn-Elysium,301,10.8,0.1568,ok,113714.418
Aegis-Elysium,106,71.0,0.3517,ok,243642.516
Boreas-Elysium,195,87.6,0.4271,ok,190179.267
Aegis-Dawn,427,29.7,0.3032,ok,161622.0
Boreas-Elysium,235,24.4,0.119,ok,100558.445
Elysium-Fenix,451,31.6,0.2077,ok,191323.172
Caelum-Elysium,174,96.48,0.5154,ok,336667.212
Aegis-Dawn,92,9.3,0.0947,ok,123110.977
